CourseNumber,CourseTitle,CourseDescription,CourseDepartment
AAAD 282,Afropessimism in American and European Film,"Scholars of Afropessimism argue that we are not living in the age of post-slavery, but in the ""afterlife of slavery"" and that Blacks exist outside of the world, because the social world is held together by anti-Blackness. This argumentation has had important effects within Black German and Black European Studies. This course seeks to explore these philosophical claims, by comparing American films with European films that deal with anti-Black racism.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 284,Contemporary Perspectives on the African Diaspora in the Americas,An interdisciplinary survey of African-descendant communities and the development and expression of African/black identities in the context of competing definitions of diaspora.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 286,"The African Diaspora in the Colonial Americas, 1450-1800","Explores the experiences of Africans in European colonies in locations such as colonial Mexico, Brazil, the Caribbean, and mainland North America.  Lecture and discussion format.  The major themes of inquiry include labor, law, gender, culture, and resistance, exploring differing experiences based on gender, location, and religion.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 287,Health Equity in the African Diaspora,"Examines historical and contemporary processes shaping health and well-being in Africa Diaspora communities. Emphasis will be placed on health and health equity within African-descendant communities in the United States, Haiti, and Brazil.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 288,Global Black Popular Cultures,"Through an interdisciplinary analysis of key aspects of black popular cultures in their global diversity, this course tackles fundamental questions about the meanings of black identity, identification, and belonging.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 290,"Topics in African, African American, and Diaspora Studies",Subject matter will vary by instructor. Course description available from department office.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 293,Individual Internships for Majors and Minors,"Students work internships and develop, in conjunction with a faculty supervisor, an academic project relating to their internship experience. Permission of the director of undergraduate studies required.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 298,Blacks in British North America to 1833,"This course looks at blacks in the British world to 1833, with particular attention on the 13 colonies and the lands that would eventually form the Dominion of Canada.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 300,Cultures of Health and Healing in Africa,"This course explores contemporary economic, political, and social factors influencing the health and welfare of African peoples. Emphasis is placed on understanding the cultural perspectives that shape non-Western experiences of health, disease, and notions of spiritual and physical well-being. Readings draw from the fields of anthropology, history, and public health.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 301,Contemporary China-Africa Relations,"The course examines the contemporary relationship between China and Africa. This includes China and Africa's history; China's economic, trade, strategic, and foreign policy towards Africa; as well as the relationship between China and the Africans who live and work there.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 302,"West African History, Politics, and Culture","The first half of this course introduces students to the broad themes of West African history. The second half builds on this historical background by exploring case studies on a range of issues. Among the topics addressed in the case studies are Islam, gender, health, political violence, and globalization.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 303,Islamic Cultures of Contemporary Africa,"By examining the social history and meaning of various cultural practices, literature, art, and popular music among Muslim Africans, this course introduces students to how Islam has influenced contemporary African identity and to the practices that came to be associated with Africa as a land of Islam.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 307,21st-Century Scramble for Africa,"Examines the 21st-century global competition for African resources and compares it to the 19th-century ""scramble for Africa."" Major actors include the European Union, the United States, and China.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 312,Terrorism in Africa,"This course introduces students to the phenomenon of religious-based terrorism in Africa today, its causes, dynamics, and what the states affected, regional organizations, and the international community are doing to eradicate it.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 315,Political Protest and Conflict in Africa,"This course surveys contemporary forms of political conflict and protest in Africa. The nature, causes, and consequences of these conflicts will be examined.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 316,Public Policy and Development in Africa,This course is a study of policy making in African states with respect to issues of sustainable development.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 318,Politics of Art in Africa,"This course considers a variety of African artists and art scenes in their political, economic, and cultural contexts. Likely topics include artists under Apartheid, the global trade in traditional wood carvings, and Africa's place in the global contemporary art circuit.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 319,Africa and Masks,"Examines the production, circulation, and consumption of masks in both African and non-African contexts. Expands, nuances, and sometimes undoes our notions of mask, masquerade, and masking.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 320,Music of Africa,"An introduction to African music new and old, focusing on the continent's distinctive techniques and concepts, and on its musical interactions with the rest of the world.  The politics of music making in various historical settings will be explored.  Prior musical experience is helpful, but not required.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 329,Islamic Cultures and Literatures in Africa,"This course examines Islamic influences on the cultures and societies of East Africa. Topics include introduction of Islam in the region, Swahili city states, hybrid Islamic cultures, Islam in the constitution, Wahhabi and Salafist puritanical Islam, Islam and politics, and secessionist movements and terrorism in East Africa Muslim societies.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 330,20th-Century African American Art,Focus on the historical development of African American art from the Harlem Renaissance of early 20th century through the Black Arts Movement and Feminist Art Movement 1960s and early 1970s.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 332,Remembering Race and Slavery,"The course provides an examination of the ways that the past plays out in the present. Specifically this course examines memorials, monuments, and museums that remember and reinvent slavery and race in the United States and throughout the rest of the Diaspora.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 333,Race and Public Policy in the United States,"Exploration of the relationship between race and public policy in the U.S. Primary focus on African Americans, but other racial groups also studied.  Key areas include reproductive justice, health care, employment, labor, welfare, education, housing, environmental justice, policing, criminalization, foreign policy, immigration, and war.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 334,Performing African American History,"Taking an issue of current or historic importance to African American communities, students conduct archival research and collect and/or analyze oral histories and work to create a documentary play that will be publicly performed.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 335,Structure of African American English,"This course treats the structural properties of African American English. Students will learn to use sentence data to test hypotheses about language structure by investigating the phonology, syntax and semantics of African American English.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 340,Diaspora Art and Cultural Politics,Examines the socio-political dimensions of African diaspora art and culture with a focus on African Americans in the 20th century.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 341,Law and Society,"This course explores the intersection of law and societal developments drawing from the disciplines of history, political science, anthropology, feminist legal studies, and constitutional law.  The themes of the course will vary depending on the training, research interests, and geographical concentration of the faculty teaching the course.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 344,African American Theatre: Exploring Legacy and Contemporary Voices,"This course investigates the history and legacy, as well as contemporary trends and ideas of African American drama through the study of its literary texts, performance styles, and cultural history.  We will explore how the African American's dramatists voice is shaping cultural landscapes and ongoing conversations.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 350,The Harlem Renaissance,"An exploration of outstanding themes of the Harlem Renaissance's poetry, fiction, painting and visual art, and political journalism. The course includes excursions to museums and libraries. Previously offered as AAAD 450.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 354,The Lived Experience of Inequality and Public Policy,"The course will explore the gap between public policy and the lived experiences of and reactions from constituents. Students will explore this gap by studying the development of twentieth-century public policy, examining the differing outcomes across groups, and the contemporary impact on housing, voting, education, and policing.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 356,The History of Hip-Hop Culture,"Examines the emergence and impact of hip-hop music and culture and its broad influence in mainstream culture, as a global phenomenon and as a vehicle embodying formative ideas of its constituent communities.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 385,Emancipation in the New World,"Will examine the way that the process of emancipation unfolded in Haiti, Jamaica, and Cuba, with major emphasis on emancipation in the United States.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 386,"Comparative Studies in Culture, Gender, and Global Forces", Examines participatory development theory and practice in Africa and the United States in the context of other intervention strategies and with special attention to culture and gender.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 387,HIV/AIDS in Africa and the Diaspora,"This course explores the history and contemporary politics of HIV/AIDS in African communities and across the Diaspora. The differing trajectories of the epidemic on the continent, in the West, and in the Caribbean and Latin America will be explored.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 388,Global Black Feminisms and Women's Apocalyptic Writing,"This class examines black women's omission from our accounts of structural oppression and catastrophe. Reading black women's apocalyptic fiction alongside global black feminist writing, we study how both genres challenge our conceptions, responses to, and preventative measures against violence and catastrophe.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 389,"The Caribbean Anticolonial: Caribbean Literature, Film, Aesthetics, and Politics","This course will examine literature, film, art, and music from the Caribbean that illustrates and critiques the past and present impacts of colonial rule in the region. What role has anticolonial Caribbean literature and art played in shaping the region's present and future, and in shaping global anticolonial politics?","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 391,Human Development and Sustainability in Africa and the African Diaspora,"A critical introduction to the study of development and sustainability as interlinked approaches to understanding contemporary challenges in Africa and the African diaspora. Development is a concept with multiple meanings and contextual incarnations. The course emphasizes thinking of development as a field of expertise and intervention and as a modality of change, that goes beyond economistic understandings of development as simply economic growth.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 392,Struggles to Shape the City,Examines approaches to studying the politicization and foreclosure of urban space. Focus in particular on race and socioeconomic class as key lenses through which to interpret and understand urban spatial struggles. Examines relations of inequality in the global North and the global South and analyzes struggles to remain in the city that are central to the politics of place.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 395,Undergraduate Research Seminar,"Permission of the instructor for nonmajors. Subject matter will vary with each instructor.  Each course will concern itself with a study in depth of some problem in African, African American, or diaspora studies.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 396,Independent Studies,Permission of the director of undergraduate studies. Independent study projects defined by student and faculty advisor. Majors only.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 400,Contemporary African Politics,This upper level seminar examines contemporary African politics with a focus on political trends in the post-1990s period.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 401,"Poverty, Health, and Human Development in Low Income Countries"," This course provides an understanding of how poverty is defined, the consequences of poverty, and policies to reduce poverty. It explores the determinants of human development outcomes from an interdisciplinary perspective (with a heavy economics focus).","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 402,African Media and Film: History and Practice,This course explores forms of filmic and photographic representation of and by Africans. An introduction to key concepts in social theory and their application to the field of media studies and ethnography is a primary focus.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 403,Human Rights: Theories and Practices in Africa,"This course explores major conceptual debates in the field of human rights. Further, it examines human rights practices and struggles in selected countries in Africa.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 404,Music of African Diasporas,"An exploration of musical articulations of African diasporic identity focusing on aesthetics, social fields of production, and the historical development of the diaspora concept around music.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 405,Contemporary African Art," Examines modern and contemporary African art (1940s to the present) for Africans on the continent and abroad. Examines tradition, cultural heritage, colonialism, postcolonialism, local versus global, nationalism, gender, identity, diaspora.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 410,"Gender, Sexuality, and Development in Contemporary Africa","This upper-level seminar focuses on debates in international development studies exploring theories and policies of development, particularly those pertaining to gender, sexuality, masculinities, and women's political agency in contemporary Africa.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 414,Senegalese Society and Culture,"This course provides an overview of Senegalese culture through movies, literary works, and scholarly books and articles. The course examines the geography, population, ethnic composition, thoughts and religious beliefs, arts and music, polygamy, status of women, and the impact of the tariqas or Sufi orders on people's daily lives.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 419,African Studies Colloquium,"This course will equip students to analyze critically cutting-edge issues concerning Africa today through readings, lectures, and research. For junior/senior majors and students with an interest in Africa.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 421,Introduction to the Languages of Africa,"This course is an introduction to the languages of Africa. No linguistics background is required. Topics include classification, characteristic linguistic features of African languages, and their role in their respective societies.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 430,African American Intellectual History,An examination of major intellectual trends in African American life from the 19th to the early 21st century.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 444,"Race, Ethnicity, and Blackness in Comparative Perspective","This course will provide students the opportunity to compare and contrast how race, especially Blackness, and ethnicity are constructed across the globe as well as how race, politics, and policy interact in various countries. We will examine the phenomena of race and ethnicity in the political development of several countries including the U.S., South Africa, France, Australia, Brazil, and several others.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 449,Black Women in Cinema: From the Early 1900s to the Present,"This course interrogates the diverse representations that black women personified on screen, investigates intersections between their off-screen lives and on-screen images, and explores what and how they contributed to the cinema industry. This course is a theoretical, critical, and historical examination of the black woman's cinematic experience.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 451,"Orality, Literacy, and Cultural Production: African Americans and Racial Modernity","Examines the divide between literacy- and orality-based modes of self-expression and cultural production, and the effects of this fault line on the African American struggle for inclusion and self-definition in the United States.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 460,"Race, Culture, and Politics in Brazil","Examines race, culture, and politics in Brazil from historical and contemporary perspectives. Focuses on dynamics of race, gender, class, and nation in shaping Brazilian social relations.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 461,"Race, Gender, and Activism in Cuba",The course is designed to give students a simulated experience of ethnographic fieldwork and qualitative research. Students are led through a learning experience where they will examine black activism in Cuba from historical and contemporary perspectives.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 466,Race and Gender in the Atlantic World,"This course examines constructions of race and gender in a comparative framework from the fifteenth to the mid-nineteenth century. Students will explore how people across the Atlantic understood visual differences and human diversity in emerging concepts of race. Students will also focus on how inhabitants of Africa, Europe, North America, and South America constructed the category of ""woman"" and ""man"" and the constraints and liberties these constructions imposed.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 480,Vernacular Traditions in African American Music,"Explores performance traditions in African American music, tracing development from African song through reels, blues, gospel, and contemporary vernacular expression. Focuses on continuity, creativity, and change within African American aesthetics. Previously offered as FOLK 610/AAAD 432.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 485,Transnational Black Feminist Thought and Practice,"This course uses social science approaches to explore the development of black feminist thought and activism in diverse cultural and national contexts. Students will gain knowledge of black feminist thought writing and activism in Europe, Latin America, the Caribbean, and the United States.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 486,Africa in the American Imagination,"Examines the ways African art appears in United States popular culture (advertisements, magazines, toys, films, art) to generate meanings about Africa. Addresses intersecting issues of nationalism, multiculturalism, imperialism, nostalgia, race. Restricted to sophomores, juniors, and seniors. Honors version available.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 487,Intellectual Currents in African and African Diaspora Studies," In this seminar students will examine primary documents of engaged scholarship written by Africans and people of African descent in the Americas, Europe, and elsewhere in the African Diaspora.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 488,Human Rights and Democracy in African Diaspora Communities,This course examines how questions of democracy and human rights have been conceptualized in African Diaspora communities in the Americas and Europe.,"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 490,"Colloquium in African, African American, and Diaspora Studies","This course is designed to give students a broad-ranging, interpretative perspective on-and analytical tools for studying-the migration and settlement of African peoples in various parts of the world, largely over the past several centuries. Based on selected secondary readings, students will study and compare the ways in which people of African descent have created political, cultural, and territorial communities in Africa and beyond the continent, especially in the slave and post-emancipation societies of the Americas.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 491,"Class, Race, and Inequality in America","Examines the origins of race in America, the relationship of racial oppression to class struggle at key points in American history, the proliferation of versions of the concept of privilege, and approaches to eliminating class and racial privilege.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 492,Urbanism in the Global South,"This course introduces concepts and themes on the development of urbanism in the ""Global South"". Students engage with current debates over urbanism in the Global South, including looking at urban inequalities in contemporary cities. Through the course, students will be able to compare and critically analyze formations of contemporary urbanism in selected cities in the Global South from a comparative perspective.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 691H,Honors Research I,"Permission of the department. Beginning of mentored research on an honors thesis. Required of all candidates for graduation with honors in African, African American, and Diaspora studies.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AAAD 692H,Honors Research II,"Permission of the department. Completion of an honors thesis under the direction of a member of the faculty. Required of all candidates for graduation with honors in African, African American, and Diaspora studies.","AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES"
AMST 51,First-Year Seminar: Navigating America,"Analyze American journeys and destinations, focusing on how resources, technology, transportation, and cultural influences have transformed the navigation and documentation of America. Multimedia documentation of personal journey required.",AMERICAN STUDIES
AMST 53,First-Year Seminar: The Family and Social Change in America,This course uses changes in the American family over the past century as a way of understanding larger processes of social change. Honors version available.,AMERICAN STUDIES
AMST 54,First-Year Seminar: The Indians' New Worlds: Southeastern Histories from 1200 to 1800,This course uses archaeological and historical scholarship to consider the histories of the Southern Indians from the Mississippian period to the end of the 18th century.,AMERICAN STUDIES
AMST 55,First-Year Seminar: Birth and Death in the United States,"This course explores birth and death as essential human rites of passage that are invested with significance by changing and diverse American historical, cultural, ethnic, and ethical contexts. Honors version available.",AMERICAN STUDIES
AMST 59,First-Year Seminar: American Indian Art in the 20th Century,"This course examines 20th-century American Indian art within the context of critical topics in the field such as sovereignty, colonialism, modernity, modernism, gender, and representation.",AMERICAN STUDIES
AMST 60,"First-Year Seminar: American Indians in History, Law, and Literature","This research seminar provides a grounding in American Indian law, history, and literature. Students will conduct research for presentation on Wikipedia.",AMERICAN STUDIES
