CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
ACCT 8310,Advanced Management Accounting Systems,"Advanced Management Accounting Systems3 Credit Hours Prerequisites: ACCT 4210 or ACCT 8030 ; or MBA 8025  or MBA 8115 ; or CIS 3260, CIS 3300 and CIS 3730. Description This course demonstrates how management accounting and control systems help managers make effective operating and strategy decisions in the firm. In particular, this course demonstrates how cost, planning, and performance measurement systems help managers increase the effectiveness of small and large firms within their current and future operating environments. To advance the skills necessary for evaluating and utilizing alternative control systems, this course also introduces economic and behavioral theories as well as current and emerging information technology and data analysis tools.",Accounting,GSU
ACCT 8389,Directed Readings in Accounting,"Directed Readings in Accounting1 to 3 Credit Hours Prerequisites: Consent of the instructor, good academic standing. Description",Accounting,GSU
ACCT 8391,Field Study in Accounting,"Field Study in Accounting3 Credit Hours Prerequisites: MPA or MBA student with a 2.Corequisites: 7 or higher GPA, accounting internship, consent of instructor.Requirements: Requirements: (May be repeated once.)    Description The purpose of this class is to provide course credit for students enrolled in the MPA or MBA program who have an accounting internship. Students are required to submit weekly journals describing their internship experience and a paper at the end of the semester. The topic for the paper has to be approved by the instructor. Students can register for this class only with the consent of the instructor.",Accounting,GSU
ACCT 8420,Special Topics in Financial Accounting,"Special Topics in Financial Accounting3 Credit Hours Prerequisites: ACCT 4113 or ACCT 8020 , with a minimum grade of C-. Description This course will cover advanced financial accounting issues such as those related to off-balance-sheet financing, segment and interim reporting, foreign currency transactions, translation of foreign currency financial statements, operation of the SEC, issues related to the adoption of IFRS in the US, accounting for reorganizations and liquidations, and accounting for estates and trusts. The course will also cover why and how managers manage earnings and critically examine a recently passed or proposed financial accounting standard.",Accounting,GSU
ACCT 8610,Advanced Topics in Assurance Services,"Advanced Topics in Assurance Services3 Credit Hours Prerequisites: ACCT 4310, ACCT 4610, both with a minimum grades of C-. Description This course covers auditing and assurance topics in depth from professional and research perspectives. The topics include audit judgment research, substantive testing research, fraud, going concern judgments, attestation engagements, international auditing, professional ethics, and litigation issues. Topics of current interest, especially those related to assurance services in an e-business environment and the development of international auditing standards, are also covered.",Accounting,GSU
ACCT 8630,Information Technology Auditing,"Information Technology Auditing3 Credit Hours Prerequisites: ACCT 4610 or CIS 8000  or MBA 8125 . Description This course focuses on the knowledge and skills required for practice of IT auditing in the post-Sarbanes-Oxley world in which internal control is assessed in financial audits. The course covers assessment of internal control in technology-intensive settings, continuous monitoring and auditing of applications, and auditing of system develop- ment. Students work through audit simulations to develop IT audit expertise.",Accounting,GSU
ACCT 8660,Study Abroad: International Accounting,"Study Abroad: International Accounting3 Credit Hours Requirements: Consent of instructor.    Description This course analyzes the impact of cultural, economic, and other factors on the practice of accounting and taxation. Concepts and practices of business strategy, asset allocation, transfer pricing, business valuation, and other concerns are examined as they relate to the U.S. and host countries. This is accomplished in part through classroom or web discussions of the various issues. The main portion of the learning process is completed through travel with faculty members to the host countries. The students interview and consult with business managers, accounting professionals, academicians, and tax officials in that country.",Accounting,GSU
ACCT 8680,Security and Privacy of Information and Information Systems,"Security and Privacy of Information and Information Systems3 Credit Hours  Description(Same as CIS 8080 ). This course is designed to develop knowledge and skills for the management and assurance of security of information and information systems in technology-enabled environments. It focuses on concepts and methods associated with planning, designing, implementing, managing, and auditing security at all levels on different platforms, including worldwide networks for e-business. The course presents techniques for assessing risk associated with accidental and intentional breaches of security and covers the associated issues of ethical uses of information and privacy considerations.",Accounting,GSU
ACCT 8700,Financial Statement and Business Analysis,"Financial Statement and Business Analysis3 Credit Hours Prerequisites: ACCT 4113 or ACCT 8020 . Description This course provides in-depth use of methods for performing financial statement analyses to evaluate a company’s profitability, liquidity, solvency, and market value. It demonstrates how these analyses can be used to diagnose a company’s past performance and to set operational and financial targets in traditional and e-business environments.",Accounting,GSU
ACCT 8710,Forensic Accounting,"Forensic Accounting3 Credit Hours Prerequisites: ACCT 4610. Description This course introduces the advanced accounting student to the forensic accounting profession. The specific focus in on the three primary areas involved in forensic accounting, namely, conflict resolution, fraud detection and forensic auditing. The important theories underpinning the study of fraudulent behavior, damage theories and auditing are thoroughly discussed along with the practical aspects of the profession including the tools, techniques and expect- ations.",Accounting,GSU
ACCT 8740,Seminar on Internal Auditing,"Seminar on Internal Auditing3 Credit Hours Prerequisites: ACCT 4610 or ACCT 8050 . Description In this course students are introduced to the current theory and practices of internal auditing viewed as a component of organizational governance. Students will learn to evaluate the effectiveness of various internal controls and make recommendations for improving corporate governance. Impor- tant auditing-related theories including risk management will be discussed along with practical implications of in- ternal management controls and the monitoring required for improving their effectiveness. The course will include cases and also expose students to the ethical, independence, and technological issues that internal auditors deal with.",Accounting,GSU
ACCT 9100,Seminar in Critical Analysis of Accounting Research,"Seminar in Critical Analysis of Accounting Research1 to 3 Credit Hours Prerequisites: Consent of instructor. Description This course develops students’ ability to analyze accounting research papers with respect to design issues such as the choice of research issues, the development of theoretical underpinnings, the appropriateness of research methods, the effectiveness of methods’ application, and the cogency of the presented results. The research issues addressed span the subspecialties in accounting and expose students to current research. Students take this course continuously through at least the third year in the doctoral program and engage in oral and written critiques of accounting research papers.",Accounting,GSU
ACCT 9200,Seminar in Auditing Research,"Seminar in Auditing Research3 Credit Hours Prerequisites: Consent of instructor. Description This course covers topics, theories, and methodologies relevant to research in audting research. In addition to studying existing literature, students complete a research project in some area of auditing. The project should extend existing research or propose a new idea.",Accounting,GSU
ACCT 9300,Seminar in Managerial Accounting,"Seminar in Managerial Accounting3 Credit Hours Prerequisites: Consent of the instructor Description This course covers the topics, theories, and methodologies relevant to research in managerial accounting. In addition to studying existing literature, students prepare research proposals in managerial accounting.",Accounting,GSU
ACCT 9400,Seminar in Financial Accounting Research,Seminar in Financial Accounting Research3 Credit Hours Prerequisites: Consent of the instructor. Description This course exposes the student to scientific inquiry and methodology as it applies to theory construction and verification in financial accounting. Topics include controversial issues in the field and an examination of significant research projects undertaken toward resolution of these issues. An emphasis is placed on critical evaluation of recent developments in empirical accounting research.,Accounting,GSU
ACCT 9900,Reading Seminar in Accounting,Reading Seminar in Accounting3 Credit Hours Prerequisites: Consent of the instructor. Description,Accounting,GSU
AS 8140,Probability,"Probability3 Credit Hours Prerequisites: Admission to MAS or Certificate. Description This course covers univariate probability distributions, including the binomial, negative binomial, geometric, hypergeometric, Poisson, uniform, exponential, gamma, and normal; multivariate joint distributions, conditional and marginal distributions, moments and generating functions, transformations of random variables, order statistics, and the central limit theorem.",Actuarial Science,GSU
AS 8230,Financial Mathematics,"Financial Mathematics3 Credit Hours Prerequisites: Admission to MAS or Certificate Topics include measurement of interest, accumulation and discount, forces of interest and discount, equations of value, annuities, perpetuities, loan amortization, yield rates, bonds and securities, duration and convexity, immunization, determinants of interest rates, the term structure, and interest rate swaps. Description",Actuarial Science,GSU
AS 8340,Life Contingencies,"Life Contingencies3 Credit Hours Corequisites: AS 4230. Description This course is an introduction to life contingencies as applied in actuarial practice. Topics include present value random variables for contingent annuities and insurance, their distributions and actuarial present values, equivalence principle, and other principles for determining premiums.",Actuarial Science,GSU
AS 8350,Insurance Mathematics,"Insurance Mathematics3 Credit Hours Prerequisites: AS 8340 . Description This course consists of life insurance as well as non-life insurance mathematics. Topics include insurance and annuity reserves, characterization of discrete and continuous multiple decrement models, paid and incurred loss develop- ment, loss reporting and settlement delay.",Actuarial Science,GSU
AS 8360,Insurance Ratemaking,"Insurance Ratemaking3 Credit Hours Prerequisites: AS 8350 . Description This new course exposes the students to the principles and techniques involved in insurance ratemaking across various product lines (life insurance, health insurance and Property & Casualty insurance). Insurance ratemaking (or pricing) is a key function performed by actuaries and is fundamental to the financial viability of an insurance company. The course will incorporate policy and claims experience, pricing assumptions, profitability targets, and capital requirements in developing premium rates.",Actuarial Science,GSU
AS 8389,Directed Readings in Actuarial Science,"Directed Readings in Actuarial Science1 to 3 Credit Hours Prerequisites: Consent of the instructor, good academic standing. Description",Actuarial Science,GSU
AS 8430,Loss Distributions and Credibility Theory,"Loss Distributions and Credibility Theory3 Credit Hours Prerequisites: MRM 8320 . Description This course provides an introduction to fitting and validating actuarial models, including estimating loss distributions and applying credibility theory, tests of goodness-of-fit for frequency and severity distributions, and credibility of information obtained from various sources.",Actuarial Science,GSU
AS 8510,Mathematical Finance for Actuaries,"Mathematical Finance for Actuaries3 Credit Hours Prerequisites: AS 8140 and AS 8230. Description This course covers the mathematical finance portion of the Society of Actuaries’ curriculum that corresponds to SOA Exam IFM. Topics include risk-weighted returns, the Capital Asset Pricing Model and factor models, discrete and continuous-time pricing of financial derivatives including the binomial model and the Black-Scholes formula, and delta-gamma hedging. The course focuses on actuarial and insurance applications and on computational questions similar to those in Exam IFM.",Actuarial Science,GSU
AS 8810,Actuarial Science Graduate Seminar,"Actuarial Science Graduate Seminar3 Credit Hours Prerequisites: AS 8340 . Description This course introduces the student to the practical considerations of actuarial modeling taught through a seminar format. The interactive approach of the seminar requires students to draw upon knowledge from the basic actuarial courses and learn modeling skills in a hands-on environment. This course emphasizes communication skills, teamwork, and synthesis of subjects in an applied setting. Professional standards applicable to actuarial work are reviewed.",Actuarial Science,GSU
AAS 6000,Proseminar in African-American Studies,"Proseminar in African-American Studies3 Credit Hours  Description This course examines the origins, parameters, and scope of the discipline of African-American Studies.",Africana Studies,GSU
AAS 6005,Theories in African-American Studies,Theories in African-American Studies3 Credit Hours  Description This course examines the major theoretical formulations employed in African-American Studies.,Africana Studies,GSU
AAS 6007,Black Feminist Thought,"Black Feminist Thought3 Credit Hours  Description(Same as WGSS 6750 ) Explores the tradition of Black feminism in the nineteenth and twentieth centuries. Students will critically read, discuss, and respond in writing to a series of texts representing Black feminist thought and its relationship to other feminisms. Students will be expected to demonstrate their knowledge of the Black feminist tradition and to demonstrate their ability to query, compare, and extend Black feminist theories.",Africana Studies,GSU
AAS 6010,Research Methods in African-American Studies,Research Methods in African-American Studies3 Credit Hours  Description Examination of the major research methodologies.,Africana Studies,GSU
AAS 6012,Qualitative Methods in African-American Studies,Qualitative Methods in African-American Studies3 Credit Hours  Description Examines qualitative methodologies utilized in African-American Studies.,Africana Studies,GSU
AAS 6013,Professional Development in Africana Studies,"Professional Development in Africana Studies3 Credit Hours  Description This course is about building skills, connections, and ethical principles that will benefit your professional goals/personal life. In enrolling in this course you are taking a major step toward achieving your short-term, intermediate-term, and long-term goals on your way to your doctoral program or career.",Africana Studies,GSU
AAS 6015,Methods in African American Oral History,"Methods in African American Oral History3 Credit Hours  Description This graduate seminar explores the using interviews as a research tool in the writing of African American history and culture. Oral narrative can amplify historical accounts with personal connections, motivations, and other information. Moreover the process of doing interviews often helps scholars find references or documents not yet deposited in archives.",Africana Studies,GSU
AAS 6016,Critical pedagogy and African American Education,"Critical pedagogy and African American Education3 Credit Hours Prerequisites: Completion of AAS 6000  and AAS 6005  with a grade of B or better. Description This course will explore the principles and practices of critical pedagogy theory as it has developed both internationally and in the United States, with a focus on application in the historical and current education in the African American community and what it means to teach for freedom.",Africana Studies,GSU
AAS 6020,African-American Social Movements,"African-American Social Movements3 Credit Hours  Description An examination of the causes, process and impact of African-American Social Movements.",Africana Studies,GSU
AAS 6022,The New African American Urban History and the Intervention of the Black Southern Diaspora,"The New African American Urban History and the Intervention of the Black Southern Diaspora3 Credit Hours Prerequisites: Must be a graduate student with a sharp focus on research and writing. Description This graduate course seeks to explore the trends, tensions, and shifts that have emerged in how we study African Americans in urban spaces. It will introduce students to the historiographical literature, main themes, methodological approaches and techniques, questions, and historical interpretations to the urban experiences of African Americans.",Africana Studies,GSU
AAS 6025,Seminar in African-American History,"Seminar in African-American History4 Credit Hours  Description(Same as HIST 8070 ) A three-topic sequence which explores the diversity in African-American ideologies, movements, class and gender. Topics vary according to instructor.     May be repeated if topics vary.",Africana Studies,GSU
AAS 6027,Seminar in Southern Black Freedom Struggle,Seminar in Southern Black Freedom Struggle4 Credit Hours  Description This seminar will explore the history of the modern civil rights movement in the South from the decade of the 1940s to the Voting Rights Act of 1965.,Africana Studies,GSU
AAS 6028,Black Political Participation,Black Political Participation3 Credit Hours  Description Black Political Participation offers an understanding of the historical and contemporary political experiences of African Americans. This course broadly examines some of the major debates within Black politics.,Africana Studies,GSU
AAS 6032,African-American Masculinity,African-American Masculinity3 Credit Hours  Description An analysis of the social construction of Black Masculinity.,Africana Studies,GSU
AAS 6042,Diversity and Aging,"Diversity and Aging3 Credit Hours  Description(Same as GERO 8124  and SOCI 8124 .). A broad overview of aging within the framework of race and ethnicity in American society. Major issues include minority aging research methodology; theories of ethnicity and aging; and life-course, “life-chance,” and socialization differences among older adults attributable to race, ethnicity, and/or minority status.",Africana Studies,GSU
AAS 6050,African Social Movements,African Social Movements3 Credit Hours  Description An examination of selected social movements in Africa from the end of the 19th century to present.,Africana Studies,GSU
AAS 6052,Africana Women and Socio Political Change,Africana Women and Socio Political Change3 Credit Hours  Description An examination of gender and power relationships in the Africana World.,Africana Studies,GSU
AAS 6056,Geography of Africa,"Geography of Africa3 Credit Hours  Description(Same as Geog 6402) An overview of the physical, economic, and cultural geography of Africa, including North Africa. Emphasis on relationships between Africa’s resources, both human and physical, and the development process.",Africana Studies,GSU
AAS 6065,Black Visual Representation,"Black Visual Representation3 Credit Hours  Description The Iconography of the African Diaspora. This course will use interdisciplinary methods to study racialized iconic figures, the production of their images, and their impact across the world. This course will use interdisciplinary methods to study racialized iconic figures, the production of their images, and their impact across the world.",Africana Studies,GSU
AAS 6073,19th Century African-American Literature,"19th Century African-American Literature3 Credit Hours  Description(Same as ENGL 8831 ) Selected works by authors such as George Moses Horton, David Walker, Harriet Jacobs, Harriet Wilson, William Wells Brown, Frederick Douglass, Frances E.W. Harper, Booker T. Washington, Charles W. Chesnutt, Pauline E. Hopkins, W.E.B. DuBois, James Weldon Johnson, and Paul Laurence Dunbar.",Africana Studies,GSU
AAS 6080,The Black Arts Movement,"The Black Arts Movement3 Credit Hours  Description Examines the Black Arts Movement in its many manifestations including music, literature, theater, and the graphic arts of the period.",Africana Studies,GSU
AAS 6090,African-American Religion,"African-American Religion3 Credit Hours  Description(Same as RELS 6250 ) Survey of the development of African-American religion from colonial times to the present, including an examination of both theological arguments and spiritual experiences.",Africana Studies,GSU
AAS 6095,"Race, Class and Gender in Contemporary South Africa","Race, Class and Gender in Contemporary South Africa3 Credit Hours  Description(Same as AAS 4975) In this course students learn how class, gender and racial categories have impacted the lives of South Africans.",Africana Studies,GSU
AAS 6110,Black Women and Health,"Black Women and Health3 Credit Hours  Description(Same as WGSS 6110.) This course examines the intersections of race, gender, and health with a critical focus on the health experiences of women in the United States with some discussion of Africa, the Caribbean, and the diaspora.",Africana Studies,GSU
AAS 6285,Womanism and Social Change,"Womanism and Social Change3 Credit Hours  Description This upper level course will explore womanism and social change as revealed in the oral histories and autobiographies of women of color who utilize religion or spirituality as a basis for their social justice commitments. This course will investigate activists from the Arab Spring, the Occupy Movement, Standing Rock, and Black Lives Matter movements amplifying research on queer women and women of color in non-violent social movements. Global Scholars course.",Africana Studies,GSU
AAS 6340,The Africana Experience through the Documentary Lens,The Africana Experience through the Documentary Lens3 Credit Hours  Description This course provides an opportunity to critically examine the Africana experience through the use of documentary films paired with critical readings.,Africana Studies,GSU
AAS 6460,Seminar in Atlantic World History,"Seminar in Atlantic World History4 Credit Hours  Description Examination of the political, social, cultural, and economic interactions of the inhabitants of Africa, Europe, and the Americas and their descendants. Topics may include comparative conquest, colonialism, geopolitical struggles, commodities, slavery and abolition, race and gender relations, revolution, migration, and 19th and 20th century nationalisms.     May be repeated if topics vary.",Africana Studies,GSU
AAS 6999,Directed Readings,Directed Readings1 to 9 Credit Hours Prerequisites: GPA of 3.00. Description,Africana Studies,GSU
AAS 8980,Non-Thesis Research,Non-Thesis Research1 to 15 Credit Hours  Description,Africana Studies,GSU
AAS 8999,Thesis Research in African-American Studies,Thesis Research in African-American Studies1 to 9 Credit Hours  Description Faculty supervision and guidance of student thesis research.,Africana Studies,GSU
MSA 7001,Basic Math for Analytics,"Basic Math for Analytics1.5 Credit Hours  Description This is an introductory and review course on Calculus I, which provides the mathematical preparations for MSA students as well as others who are interested in sharpening their math skills. The course covers a variety of topics including functions, derivatives, integrals, differential equations and, infinite sequences and series. Content will be linked to various topics in courses such as statistics, machine learning, and econometrics.     May be repeated but only if content varies.",Analytics,GSU
MSA 7003,Foundations for Programming,"Foundations for Programming1.5 Credit Hours  Description This is an introductory and review course on data structures and algorithms, which provide the programming preparations for MSA students as well as others who are interested in sharpening their programming skills. The course covers a variety of topics including algorithmic complexity, object oriented programming, lists, hash tables, recursion, binary trees, heaps, sorting algorithms, and graphs. Content will be linked to various topics in MSA courses.     May be repeated but only if content varies.",Analytics,GSU
MSA 8005,Mathematical Foundations for Analytics,"Mathematical Foundations for Analytics1 to 3 Credit Hours Requirements: Permission from instructor.    Description This is an introductory and review course on calculus, linear algebra, and probability foundations, which provides the mathematical basics for MSA students. The course covers a variety of topics including functions, limits, derivatives, integrals with single and multiple variables, and some probability foundations such as measures, expectations, and the central limit theorem. Content will be linked to various topics in other analytics courses such as machine learning, statistics, operations research, and econometrics.",Analytics,GSU
MSA 8010,Data Programming for Analytic,"Data Programming for Analytic3 Credit Hours Prerequisites: MRM 8000 . Description This course builds upon the student’s foundation of programming principles through the introduction of application programming for data analysis. Major areas covered include inheritance and polymorphism, common programming data structures, and file and database access. Students will implement data analysis applications, which will be evaluated according to advanced programming principles. The programming language will be noted in the course listing for each semester.",Analytics,GSU
MSA 8020,Data Visualization,"Data Visualization1.5 Credit Hours  Description This course introduces students to basic visualization tools as well as data exploration and data presentation skills.The course mainly covers 3 parts: visualization in R using ggplot2; visualization in Tableau; and advanced visualization tools including interactive visualization, spatial visualization and dimension reduction.",Analytics,GSU
MSA 8040,Data Management for Analytics,"Data Management for Analytics3 Credit Hours  Description This course introduces students to structured and unstructured data management methods and techniques. It covers a variety of topics including relational data modeling, logical and physical database design, structured query language, capturing, cleaning and merging unstructured data, and analysis techniques, such as classification, sentiment analysis, clustering and information retrieval. The methods and techniques discussed will be linked to other topics, such as machine learning, and applied to practical analytics problems.",Analytics,GSU
MSA 8050,Scalable Data Analytics,"Scalable Data Analytics3 Credit Hours  Description This course covers essential concepts and tools for large scale data analytics. Topics include 1functional and parallel programming paradigms and languages, 2core components of large scale platforms, 3scalable machine learning algorithms, and 4real-time data analysis. Programming projects demonstrate design and implementation of large scale analytics pipelines for structured and un-structured data.     May be repeated but only if content varies.",Analytics,GSU
MSA 8100,Optimization Methods in Analytics,"Optimization Methods in Analytics1.5 Credit Hours  Description This course introduces students to the theory, algorithms, and applications of optimization in analytics. The optimization methodologies include linear programming, nonlinear programming and advanced optimization. Examples and applications in analytics, statistics and machine learning will be discussed.     May be repeated but only if content varies.",Analytics,GSU
MSA 8150,Machine Learning for Analytic,"Machine Learning for Analytic3 Credit Hours Prerequisites: MSA 8010 . Description The course will cover theory, methods, and tools for automated inference from data. This introductory course will include (1) supervised learning, (2) unsupervised learning methods, (3) graphical structure models, and (4) deep learning. The course will prepare students in the fundamentals of machine learning, as well as provide practical skills in applying current software tools to machine inference from large data sets.",Analytics,GSU
MSA 8190,Statistical Foundations for Analytics,"Statistical Foundations for Analytics3 Credit Hours  Description The course covers basic probability and mathematical statistical theory, and provides a basic introduction to linear models, with an eye on application. The course starts with a primer on linear algebra, discussing the solution of linear equation systems, the rank of a matrix, determinants, eigenanalysis, and diagonalization; and basic probability theory, including probability spaces, dependence, random variables, (conditional) expectations, and sampling. It continues with the introduction of discrete and continuous distributions, and basic statistical theory of estimation and inference. Topics include consistency, unbiasedness, efficiency, maximum likelihood estimation, central limit theorem, confidence intervals, and hypothesis testing.",Analytics,GSU
MSA 8200,Econometric Predictive Analytics,"Econometric Predictive Analytics3 Credit Hours Prerequisites: MSA 8190  or consent of the instructor. Description This course introduces students to different predictive models with a focus on real-world applications and datasets. The course covers three primary topics: the analysis of time series data, including estimation and inference for ARIMA models; the set of skills required to analyze real world data, including data pre-processing, data type identification, and different types of models for panel and cross-sectional data; the students will also have hands on experience of working with real world data.",Analytics,GSU
MSA 8350,Legal Analytics,"Legal Analytics3 Credit Hours  DescriptionCross listed with LAW 7675. This course introduces students to the emerging field of legal analytics, which employs computational and statistical modeling, analysis, and visualization of legal data to accomplish both descriptive and predictive goals. For analytics students, the course provides an introduction to the U.S. legal system and legal reasoning, legal materials, and the problems and questions present in the law. For law students, the course offers an introduction to basic coding, as well as to the theory and applications of text mining, natural language processing, machine learning and other methods for managing and analyzing unstructured data such as that found in legal documents.",Analytics,GSU
MSA 8389,Directed Readings in Analytics,"Directed Readings in Analytics1 to 3 Credit Hours Prerequisites: Consent of the adviser, good academic standing and open to MSA students only. Description This course allows for in-depth study of topics of significance in analytics. Examples of topics that could be covered include applications of machine learning to business research, text analytics in law research, research between FinTech and analytics.",Analytics,GSU
MSA 8391,Analytics Field Study,"Analytics Field Study1 to 4 Credit Hours Prerequisites: Consent of the adviser, good academic standing. open to MSA majors only.   Description The field study is a supervised practical application experience, an internship, or consulting experience, culminating in a term paper or thesis. It provides students the opportunity to learn and apply analytics project skills in a complex and professional setting. Students are responsible for choosing their field study topic and presenting a plan of study to be approved by their academic advisor.     May be repeated but only if content varies.",Analytics,GSU
MSA 8395,Special Topics in Analytics,"Special Topics in Analytics1 to 3 Credit Hours Prerequisites: Instructor Approval This course allows for in-depth study of topics of special current significance in analytics. Description Examples of topics that could be covered include new applications of analytics in areas like financial technology, new analytics technology, and experimental techniques and methodologies. The topic of each offering will be announced in advance, and students may take this course multiple times for course credit as different topics are offered.",Analytics,GSU
MSA 8500,Image Analytics for Operations,"Image Analytics for Operations3 Credit Hours  Description This course covers essential concepts and tools about how to use images to improve company operations. The course covers topics such as image formation, processing, feature detection and matching, image segmentation, feature-based alignment, image stitching, and recognition. Machine learning methods such as convoluted neural networks will be discussed for classification and optical characteristic recognition. Various applications of using images in business context will be discussed.",Analytics,GSU
MSA 8600,Deep learning analytics,"Deep learning analytics1.5 Credit Hours  Description This is an introductory and review course on historical development of neural networks and state-of-the-art approaches to deep learning. Students will learn the various deep learning methods and will also learn how to design neural network architectures and training procedures through hands-on assignments. The course covers a variety of topics including neutral network basics, deep learning strategies such as GPU training and regulation, convolutional networks, recurrent neutral networks, the long short-term memory and other gated RNNs and unsupervised deep learning. Applications of using deep learning into natural language processing and image recognition will be discussed throughout the course.     May be repeated but only if content varies.",Analytics,GSU
MSA 8650,Advanced Deep Learning with Business Applications,"Advanced Deep Learning with Business Applications3 Credit Hours Prerequisites: MSA 8100 , MSA 8600 , or instructor approval. Description This course uses advanced deep learning methods to explore how to make better business decisions from various data with a focus on texts and images. Text documents and images have proven to be useful complements to structured data in different research fields such as marketing, information management, real estate, accounting, finance, operations management etc. This course studies how to use deep neural network to solve business related problems.     May be repeated but only if content varies.",Analytics,GSU
MSA 8770,Text Analytics,"Text Analytics3 Credit Hours Prerequisites: MSA 8010  or an equivalent Python course. Description The course will build on established concepts in data mining, machine learning and natural language processing, and on newer developments in the applicability and usability of text data analytics. The course introduces students to the process of formulating business objectives, implementing rigorous text processing techniques, and lastly training, testing, implementing and evaluating various models.     May be repeated but only if content varies.",Analytics,GSU
ANTH 6020,Anthropological Theory,Anthropological Theory3 Credit Hours Prerequisites: Anth 2020 or consent of instructor. Description Historical treatment of the major theoretical trends in anthropology.,Anthropology,GSU
ANTH 6033,Anthropology of Violence,"Anthropology of Violence3 Credit Hours  Description This course explores the anthropological analysis of violence. Recent social and anthropological theory on violence will be central to the course. We will consider violence in many of its forms, including but not limited to direct violence, structural violence, cultural or symbolic violence, state-sanctioned violence (i.e., armed conflict, torture, death penalty, etc.) interpersonal violence, and gender-based violence.",Anthropology,GSU
