CourseNumber,CourseTitle,CourseDescription,CourseDepartment
ACCT 4750 , Technology and Values in the Accounting Profession," Technology and Values in the Accounting Profession3 Credit Hours Prerequisites: MATH 1070 , ACCT 4101 , and ACCT 4102  with a grade of C- or higher.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description The objective of this capstone course is to prepare the undergraduate student in accounting for a professional career of technological and cultural change. This course focuses on creating, managing, and controlling such change to achieve superior performance. It uses an economic decision-making approach to demonstrate the value of recent information technologies and the importance of maintaining social and professional norms.          ",Accounting
ACT 2100 , Play Analysis for Production," Play Analysis for Production3 Credit Hours  Description This course includes a textual analysis of play scripts, with an emphasis on the perspective of the practitioner of theatre for production purposes.          ",Acting
ACT 2210 , Beginning Acting," Beginning Acting3 Credit Hours  Description The fundamentals of acting theories and techniques are taught through improvisation, character development, monologue, and scene-work.          ",Acting
AAS 1141 , Introduction to African and African American History to 1865," Introduction to African and African American History to 18653 Credit Hours  Description An introductory survey of African-American History that provides engagement with significant topics, themes and issues in the African American experience from pre-colonial Africa, through enslavement in North America.          ",Actuarial Science
AAS 1142 , Introduction to African American History Since 1865," Introduction to African American History Since 18653 Credit Hours  Description An introductory survey of African-American History that provides engagement with significant topics, themes and issues in the African American experience from Reconstruction into the present.          ",Actuarial Science
AAS 2010 , Introduction to Africana Studies," Introduction to Africana Studies3 Credit Hours  Description Intellectual and social origins of African-American Studies. Key concepts, themes, and theories of the discipline.          ",Actuarial Science
AAS 2140 , Africana Literature in the Americas," Africana Literature in the Americas3 Credit Hours  Description Historical survey of English-language literature by people of African descent in the Americas, particularly in the U.S., with consideration of literary genres, conventions, and modes. Issues such as periodization, canon formation, national identity, and the interrelationships between literature and other elements of culture will be explored.          ",Actuarial Science
AAS 3000 , African-American Family, African-American Family3 Credit Hours  Description(Same as SOCI 3162 .) Contemporary theories and research of the African-American family.          ,Actuarial Science
AAS 3010 ," Narratives of Race, Gender and Sexuality: Quare Readings"," Narratives of Race, Gender and Sexuality: Quare Readings3 Credit Hours  Description Focuses on recognizing and employing various reading practices and themes of intersectionality within a number of literary narratives.          ",Actuarial Science
AAS 3050 , Introduction to African-American Psychology," Introduction to African-American Psychology3 Credit Hours Prerequisites: AAS 2010 , AAS 1140, AAS 1141 , AAS 1142 , Hist 1140, HIST 1141 , or HIST 1142  with a D or higher. Description(Same as PSYC 3520 .) Examination of theory and research pertaining to African-American psychology. Special emphasis on the Afrocentric perspective.          ",Actuarial Science
AAS 3070 , African-Americans in the Criminal Justice System, African-Americans in the Criminal Justice System3 Credit Hours  Description An examination of the relationship between the African-American community and the criminal justice system.          ,Actuarial Science
AAS 3120 , African Diaspora," African Diaspora3 Credit Hours Prerequisites: AAS 2010 , AAS 1140, AAS 1141 , AAS 1142 , Hist 1140, HIST 1141 , HIST 1142 , or ANTH 2020  (each with a D or higher). Description(Same as ANTH 3120 .) Investigates the dispersal, growth, and influence of people of African descent throughout the world. A comparative analysis of historical, political, cultural, economic, and social development of the African diaspora.  Global Scholars course.        ",Actuarial Science
AAS 3124 , Diversity and Aging," Diversity and Aging3 Credit Hours  Description(Same as GERO 3124  and SOCI 3124 .) This course examines aging as a social process and focuses on the influence of ethnicity and race, as well as other key social relations in shaping the life course. We will define and examine diversity and disparity and consider many of the socio-cultural factors that give rise to differences across the life course and in later life.          ",Actuarial Science
AAS 3240 , Peoples and Cultures of Africa," Peoples and Cultures of Africa3 Credit Hours  Description(Same as ANTH 3240.) Origins, adaptations, and contemporary social, economic, political, and belief systems of the indigenous and mixed populations of Africa.  Global Scholars course.        ",Actuarial Science
AAS 3450 , History of African-Americans in Georgia," History of African-Americans in Georgia3 Credit Hours  Description Examination of the political, economic, and social development of African-Americans in Georgia.          ",Actuarial Science
AAS 3500 , Jazz History," Jazz History3 Credit Hours  Description(Same as Mus 3500.) Study of the development of jazz from its origins to current trends including stylistic periods such as New Orleans, swing, bop, cool, avant garde, and fusions. Emphasis on evolution of form, improvisational style, and influential artists.          ",Actuarial Science
AAS 3670 , Social Justice in Sports, Social Justice in Sports3 Credit Hours  Description This course examines the impact that sports activism has had on global issues.          ,Actuarial Science
AAS 3750 , Race and Racism," Race and Racism3 Credit Hours  Description(Same as PHIL 3750 .) Study of philosophical issues related to race and racism. Topics may include philosophical analysis of concepts such as oppression, race, racism, discrimination, and stereotyping as well as critical investigation of practices and institutions related to racism and ending it, such as the ethics of racial profiling, racism and mass incarceration, and racism and social integration.          ",Actuarial Science
AAS 3810 , History of African-American Music, History of African-American Music3 Credit Hours  Description(Same as MUA 3810 .) History and styles of African-American music.          ,Actuarial Science
AAS 3880 , African-American Literature," African-American Literature3 Credit Hours  Description(Same as ENGL 3950 .) History and development of African-American literature, with emphasis on major writers.          ",Actuarial Science
AAS 3960 , African-American Literature by Women," African-American Literature by Women3 Credit Hours  Description(Same as ENGL 3960  and WGSS 3960.) Survey of literature from the eighteenth century to the present. Includes such authors as Wilson, Wheatley, Larsen, Hurston, Dove, Hansberry, and Morrison.          ",Actuarial Science
AAS 3975 , Concepts and Theories in Africana Studies," Concepts and Theories in Africana Studies3 Credit Hours Prerequisites: Either AAS 1140, AAS 1141 , or AAS 1142 ; and AAS 2010  and AAS 3120 , each with a C or instructor approval. Description Examination of the major concepts and theoretical orientations used in Africana Studies.          ",Actuarial Science
AAS 3980 , Research Methods in Africana Studies-CTW, Research Methods in Africana Studies-CTW3 Credit Hours Prerequisites: AAS 2010  with a C or higher. Description Qualitative and quantitative research techniques employed to generate knowledge in the interdisciplinary field of Africana Studies.          ,Actuarial Science
AAS 4000 , Issues in the African-American Community, Issues in the African-American Community3 Credit Hours  Description(Same as SOCI 4310 .) Examination of the impact of major societal issues on the African-American community.          ,Actuarial Science
AAS 4010 , Civic Engagement in Africana Studies, Civic Engagement in Africana Studies3 Credit Hours  Description An experiential course where students develop civic responsibility and utilize their skills and talents to the service of community organizations with the specific goal of helping to empower them to address African American and broader community needs.  This course may include a Signature Experience component.        ,Actuarial Science
AAS 4030 , African-American Relationships," African-American Relationships3 Credit Hours  Description(Same as SOCI 4311 .) Explores historical, social, psychological, and economic factors affecting African-American relationships. Issues include negative images and stereotypes, color, beauty and pornography, sex-gender and role identity, consumerism and narcissism, and employment.          ",Actuarial Science
AAS 4105 , Race & Health, Race & Health3 Credit Hours  Description Critical exploration of the frameworks used to explain racial differences in health in the African-American community through the examination of contemporary health issues.          ,Actuarial Science
AAS 4110 , Black Women and Health," Black Women and Health3 Credit Hours  Description(Same as WGSS 4110.) This course examines the intersections of race, gender, and health with a critical focus on the health experiences of women in Africa, the Caribbean, and the United States.  Global Scholars course.        ",Actuarial Science
AAS 4120 , African-American Political Thought, African-American Political Thought3 Credit Hours  Description(Same as POLS 4560.) Examination and critical analysis of African-American political and social issues.          ,Actuarial Science
AAS 4125 , Black Feminist Thought," Black Feminist Thought3 Credit Hours Prerequisites: AAS 2010  with a C or higher. Description(Same as WGSS 4750 .) Explores the tradition of Black feminism in the nineteenth and twentieth centuries. Students will critically read, discuss, and respond in writing to a series of texts representing Black feminist thought and its relationship to other feminisms. Students will be expected to demonstrate their knowledge of the Black feminist tradition and their ability to query, compare, and extend Black feminist theories.          ",Actuarial Science
AAS 4140 , Black Women Politics, Black Women Politics3 Credit Hours  Description This course focuses on the historical and contemporary world of Black women politics in the United States.  Critical Thinking Through Writing (CTW) course.        ,Actuarial Science
AAS 4160 , African-American Politics," African-American Politics3 Credit Hours Prerequisites: AAS 2010 , AAS 1140, AAS 1141 , AAS 1142 , Hist 1140, HIST 1141 , or HIST 1142  with a D or higher. Description(Same as POLS 4165 .) Analysis of the ideology, public opinions, and political behaviors of African Americans. African-American impact on the electoral system.          ",Actuarial Science
AAS 4170 , Hip-Hop and Politics," Hip-Hop and Politics3 Credit Hours  Description This is a course designed to discuss the historical and contemporary world of Hip-Hop music in the United States. Topics covered in this class deal with rap music, attitudes, stereotypes, behavior, political participation, and overall perception. Critical Thinking Through Writing course.          ",Actuarial Science
AAS 4180 , Politics of the Civil Rights Movement," Politics of the Civil Rights Movement3 Credit Hours  Description(Same as POLS 4157 .) Examinations of the underpinnings, leadership, political strategies, and outcomes of the modern civil rights movement.          ",Actuarial Science
AAS 4200 , Critical Pedagogy and African American Education," Critical Pedagogy and African American Education3 Credit Hours Prerequisites: AAS 1140, AAS 1141 , or AAS 1142 , or AAS 2010  with a D or higher. Description This course will explore the principles and practices of critical pedagogy theory as it has developed both internationally and in the United States. This theory will be particularly focused on its application in the historical and current education in the African American community. The course will examine applications of critical pedagogy in both primary and higher education arenas with a particular focus on what it means to “teach for freedom. The course will review applications of critical pedagogy and its focus on cultural and social context of both students and teachers and the relationship of education to social development and social change. This course includes both class participation and class room participant observer research..          ",Actuarial Science
AAS 4230 , Religions of the African World," Religions of the African World3 Credit Hours  Description(Same as RELS 4230 .) An overview of religion from Africa to the Diaspora. African cosmology and religions among various African peoples such as the Yoruba and the Dogon of Mali. African origins of Western religions such as Judaism, Christianity, and Islam. Various religions among African peoples in the Diaspora such as Santeria, Voodooism, Rastafarianism, as well as Christianity, Black Judaism, and the Nation of Islam. Special attention to African survivals in religion in the Diaspora. The role of religion as a tool of liberation and community and economic development.  Global Scholars course.        ",Actuarial Science
AAS 4250 , African-American Religion," African-American Religion3 Credit Hours  Description(Same as RELS 4250 .) A survey of the development of African-American religion from colonial times to present, including an examination of both the theoretical arguments of religious elites and the spiritual experience of laypersons.          ",Actuarial Science
AAS 4255 ," Religion, Race, Nation"," Religion, Race, Nation3 Credit Hours  Description(Same as RELS 4255 .) From colonialism to black nationalism to globalization, how do the three issues of religion, race, and nation affect each other? The course will discover the role religion plays in shaping racial and national identity and explain how the concepts of race, religion, and nation reconfigure issues of power, privilege, and public life. We will explore these concepts using theory, world literature, and film.          ",Actuarial Science
AAS 4280 , African-American Anthropology," African-American Anthropology3 Credit Hours  Description(Same as ANTH 4280 .) Major writings in the field of African-American studies; theories, categories, and methods used in studying complex societies are brought to bear upon the literature; use of ethnographies to provide a comparative perspective for understanding African-American cultures.          ",Actuarial Science
AAS 4285 , Womanism and Social Change," Womanism and Social Change3 Credit Hours  Description This upper level course will explore womanism and social change as revealed in the oral histories and autobiographies of women of color who utilize religion or spirituality as a basis for their social justice commitments. This course will investigate activists from the Arab Spring, the Occupy Movement, Standing Rock, and Black Lives Matter movements amplifying research on queer women and women of color in non-violent social movements.  Global Scholars course.        ",Actuarial Science
AAS 4330 , The Black Arts Movement," The Black Arts Movement3 Credit Hours  Description This course explores and examines the ideas, major artists and institutions, artistic practices, political context and enduring legacy of the most important multi-discipline artistic movement in African American history.          ",Actuarial Science
AAS 4340 , The Africana Experience through the Documentary Lens, The Africana Experience through the Documentary Lens3 Credit Hours  Description This course provides an opportunity to critically examine the Africana experience through the use of documentary films paired with critical readings.          ,Actuarial Science
AAS 4350 , Black Visual Representation," Black Visual Representation3 Credit Hours  Description The Iconography of the African Diaspora. This course will use interdisciplinary methods to study racialized iconic figures, the production of their images, and their impact across the world.  Global Scholars course.        ",Actuarial Science
AAS 4360 , Studies of Black Dance," Studies of Black Dance3 Credit Hours  Description Examines the centrality of movement in the social, cultural, and spiritual practices of black populations across the world.  Global Scholars course.        ",Actuarial Science
AAS 4400 , Geography of Africa," Geography of Africa3 Credit Hours  Description(Same as GEOG 4402 .) An overview of the physical, economic, and cultural geography of Africa, including North Africa. Emphasis on relationships between Africa’s resources, both human and physical, and the development process.  Global Scholars course.        ",Actuarial Science
AAS 4550 , Black Activism," Black Activism3 Credit Hours Prerequisites: AAS 1140, AAS 1141 , AAS 1142 , or AAS 2010  with a D or higher. Description Examination of 20th and 21st century Black movements for social justice. The course focuses on investigation of insurgent movements that primarily worked outside of parliamentary politics and taking a multi-disciplinary approach by the study of theories and histories of social movements of African descendants in the United States.          ",Actuarial Science
AAS 4600 , Enslavement and Resistance in North America, Enslavement and Resistance in North America3 Credit Hours  Description(Same as HIST 4280 .) Examines the character of the system of chattel slavery and racial oppression in Colonial America and in the United States and insurgent responses to it by the captive and free population of African descent in North America.  Global Scholars course.        ,Actuarial Science
AAS 4620 , Enslavement and Resistance in the Americas," Enslavement and Resistance in the Americas3 Credit Hours  Description(Same as HIST 4290 .) Comparative examination of systems of captivity and forced labor in the western hemisphere and the social development and popular responses of captive Africans and their descendants to these systems. Emphasis on the continuities of African culture and the unique adaptation of culture and social organization in each country. The nature of resistance and the process of eliminating the system of captivity, with a focus on Maroon nations in the Americas.  Global Scholars course.        ",Actuarial Science
AAS 4625 , Atlanta and Black Culture," Atlanta and Black Culture3 Credit Hours Prerequisites: AAS 1140, AAS 1141 , AAS 1142 , or AAS 2010  with a C or higher; and at least 48 undergraduate credit hours. Description This course focuses on the history, politics and culture within the “Black New South”, a subfield within the academic field of African American Studies. With an interdisciplinary approach the focus will be on the major issues involved in the study of the African American experience, both the objective issues being analyzed in the research literature and the subjective issues of how the world sees Atlanta, Georgia as the Black Mecca.          ",Actuarial Science
AAS 4640 , African-American People," African-American People4 Credit Hours  Description(Same as HIST 4270 .) Major topics and themes in African-American history, including slavery, development of American racism, urbanization, civil rights, and black contributions to American culture.  City Scholars Course.        ",Actuarial Science
AAS 4650 , African-American Theatre, African-American Theatre3 Credit Hours  Description(Same as THEA 4090 .) Examination of the history and contributions of African-Americans to the American theatre.          ,Actuarial Science
AAS 4660 , African-American Women," African-American Women4 Credit Hours  Description(Same as HIST 4260 .) Examination of the varied history of African-American women. Centered in the tradition of race and gender protest; how women have generationally developed agendas and forums around social justice reform; exploration of themes, individuals, and collective action, revealing the impact of race, class, and gender on the lives of African-American women.          ",Actuarial Science
AAS 4771 , Gender and Sexuality in the African Diaspora," Gender and Sexuality in the African Diaspora3 Credit Hours Prerequisites: WGSS 2010  with a C or better. Description(Same as WGSS 4770 .) This course thinks about the kinds of conceptual tools: questions, methods, theories, histories, geographies, time periods, and social/cultural movements needed in order to understand the dynamic and shifting terrain of gender and sexuality in the African Diaspora. Colonialism, slavery, social movements as well as transnational circuits of music, self-expression, desire and consumption/production will frame our approach to theorizing gender and sexuality in the actual and imagined spaces of the African Diaspora.  Global Scholars course.        ",Actuarial Science
AAS 4772 , Women in Africa," Women in Africa3 Credit Hours  Description(Same as HIST 4772 .) An examination of African women’s roles in domestic production, their relationship to the state, and the effect of social change on women from the pre-colonial period to the contemporary era.  Global Scholars course.        ",Actuarial Science
AAS 4774 , African Rebellions, African Rebellions3 Credit Hours  Description An examination of African resistance in the colonial and post-colonial contexts.  Global Scholars course.        ,Actuarial Science
AAS 4776 ," Africa and Hollywood: Myth, Romance, and Savage Imagery"," Africa and Hollywood: Myth, Romance, and Savage Imagery4 Credit Hours  Description This course explores the image of Africa projected into American mass culture through the vehicle of commercial films produced about Africa.          ",Actuarial Science
AAS 4780 , African-American Lesbian and Gay Activism," African-American Lesbian and Gay Activism3 Credit Hours Prerequisites: AAS 2010 . Description(Same as WGSS 4780 .) Examines the speeches, writings, and other public communication of African-American lesbians and gay men who promote democratic ideals. Surveys historical and contemporary issues confronting this marginalized population. Emphasis on thematic and cultural critical approaches.          ",Actuarial Science
AAS 4870 , Honors Thesis I, Honors Thesis I1 to 6 Credit Hours Prerequisites: Good standing with the Honors College and consent of the instructor and the Honors College. Description Readings or research preparatory to honors thesis or project.  Signature Experience course.        ,Actuarial Science
AAS 4880 , Honors Thesis II, Honors Thesis II1 to 6 Credit Hours Prerequisites: Good standing with the Honors College and consent of the instructor and the Honors College. Description Writing or production of honors thesis or project.  Signature Experience course.        ,Actuarial Science
AAS 4890 , Caribbean Literature," Caribbean Literature3 Credit Hours Prerequisites: AAS 2010 , AAS 1140, AAS 1141 , AAS 1142 , Hist 1140, HIST 1141 , or HIST 1142  (each with a D or higher). Description(Same as ENGL 3970 .) Survey of twentieth-century literature of the English-speaking or Commonwealth Caribbean. Includes such writers as Prince, Brathwaite, Kincaid, Naipaul, and Walcott.  Global Scholars course.        ",Actuarial Science
AAS 4900 , African-Americans in Film, African-Americans in Film4 Credit Hours  Description(Same as FLME 4760 .) Mainstream Hollywood representation of African-Americans and the alternative film portrayals by African-American producers.          ,Actuarial Science
AAS 4940 , African-American Achievement," African-American Achievement3 Credit Hours Prerequisites: Either AAS 1140, AAS 1141 , AAS 1142 , or AAS 2010  with a C or higher; and at least 48 undergraduate credit hours. Description Examination of the various contexts of African-American academic performance.          ",Actuarial Science
AAS 4950 , African-American Popular Culture, African-American Popular Culture3 Credit Hours  Description(Same as JOUR 4590 .) Intellectual debates over the definitions and diversities of everyday African-American cultural production.          ,Actuarial Science
AAS 4970 , Topics in Africana Studies," Topics in Africana Studies3 Credit Hours Prerequisites: AAS 2010 , AAS 1140, AAS 1141 , AAS 1142 , Hist 1140, HIST 1141 , or HIST 1142  (each with a D or higher). Description Intensive treatment of selected topics in African-American studies.       May be repeated for 12 credit hours.   ",Actuarial Science
AAS 4975 ," Race, Class and Gender in Contemporary South Africa"," Race, Class and Gender in Contemporary South Africa3 Credit Hours  Description In this course students learn how class, gender and racial categories have impacted the lives of South Africans.  Global Scholars course.        ",Actuarial Science
AAS 4980 , Seminar and Practicum in Africana Studies-CTW, Seminar and Practicum in Africana Studies-CTW3 Credit Hours Prerequisites: AAS 3980  with a C or higher.Requirements: Serves as one of the two Critical Thinking Through Writing (CTW courses required of all African-American Studies majors).    Description Integration and application of discipline knowledge in a field setting with nonprofit community organization.  (CTW course). This course may include a Signature Experience component.        ,Actuarial Science
AAS 4995 , Directed Readings B.I.S.-CTW, Directed Readings B.I.S.-CTW3 to 4 Credit Hours Requirements: This course may satisfy the Critical Thinking Through Writing requirement.    Description Directed Readings designed for Bachelor of Interdisciplinary Studies students.          ,Actuarial Science
ANTH 1102 , Introduction to Anthropology," Introduction to Anthropology3 Credit Hours  Description This course is designed as an introduction to the discipline of anthropology through a survey of the five subfields: cultural, biological, archaeological, linguistics, and applied anthropology. The course will use a holistic and comparative approach to study the human condition with emphasis on human cultural, behavioral, and biological variation across place and time.          ",Africana Studies
ANTH 2010 , Introduction to Biological Anthropology," Introduction to Biological Anthropology3 Credit Hours  Description This evidence-based course is designed to introduce students to the general concepts of biological anthropology. The course will use lecture and hands-on activities to explore major topics in evolution and natural selection, variation and adaptation, molecular and population genetics, the intersections of biology and cultural behavior, and the fossil record from early hominins through modern populations.          ",Africana Studies
ANTH 2020 , Introduction to Cultural Anthropology," Introduction to Cultural Anthropology3 Credit Hours  Description This course examines the theories, methods, and basic issues in contemporary cultural anthropology, stressing comparison and interpretation of contemporary social problems cross-culturally. An emphasis will be placed on applied methodologies used in cultural studies such as fieldwork, participant observation, ethnography, and ethnology. Topics include culture and cultural diversity, cultural categories of race, ethnicity, gender, as well as social institutions such as marriage, family, religion, and subsistence patterns.          ",Africana Studies
ANTH 2030 , Archaeology and Prehistory, Archaeology and Prehistory3 Credit Hours  Description Brief overview of archaeological methods and concepts followed by an examination of major cultural developments including the geographical spread of humans and the emergence of agriculture and complex societies. Implications for understanding contemporary humanity are included.          ,Africana Studies
ANTH 2040 , Introduction to Linguistic Anthropology," Introduction to Linguistic Anthropology3 Credit Hours  Description Linguistic anthropology is broadly understood as the study of language as a part of culture. This course shows how language constitutes social action. Language is much more than a transparent medium for communicating ideas. Rather, the way we speak can have profound implications in terms of community membership, social exclusion, economic opportunity, identity, the way we view and understand the world. This course will cover the complexity of human languages and the significance of linguistic and cultural difference.          ",Africana Studies
ANTH 3033 , The Anthropology of Violence-CTW," The Anthropology of Violence-CTW3 Credit Hours Prerequisites: ANTH 2010 , ANTH 2020 , or ANTH 2030  with a grade of C or higher, or consent of instructor.Requirements: Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all anthropology majors.    Description Drawing on three subfields of anthropology (biological anthropology, archaeology, and sociocultural anthropology), this course takes a holistic approach to the study of violence. The course fosters critical thinking through writing, and it promotes the understanding of how scholarly-scientific and popular interpretations of violence are rooted in the ideological paradigms of their time.  Critical Thinking Through Writing (CTW) course.        ",Africana Studies
ANTH 3050 , Anthropology of Religion," Anthropology of Religion3 Credit Hours  Description This course provides an introduction to the comparative study of the world’s religions, a discipline that has its roots in the fields of anthropology, philosophy and sociology. The course will explore the role that the invention of writing played in the emergence of scriptural religions, as well as provide an introduction to some of the key categories in comparative religion, including: athletics, civil religion, ethics, gender, modernity, prophecy, ritual, sainthood and time. The course will conclude with a three-week ethnography of a Vodou priestess (â€œMama Lolaâ€in the Haitian diaspora of New York City.  Global Scholars course.        ",Africana Studies
ANTH 3075 , Greek Mythology," Greek Mythology3 Credit Hours  Description This course explores the lives, and long afterlives, of certain canonical mythic cycles such as the Epic of Gilgamesh, the Iliad and the Odyssey, or the Ramayana. The course will use the Greek case study as exemplary.          ",Africana Studies
ANTH 3100 ," Sex, Culture, and Sexuality"," Sex, Culture, and Sexuality3 Credit Hours  Description This course takes a comparative, cross-cultural approach to understanding sex and sexuality/sexualities in anthropological and historical perspective. This will include an examination of beliefs about sex, sexuality, and the body; the interaction of culture and biology in the shaping of sexual identity; the many roles of sex in both nonhuman and human primate societies; evidence of sexual attitudes and practices based on the material culture of past societies; and the variety of sexual practices and their meanings around the world in contemporary society.          ",Africana Studies
ANTH 3120 , African Diaspora," African Diaspora3 Credit Hours Prerequisites: AAS 1140, AAS 1141 , AAS 1142 , AAS 2010 , HIST 1140, HIST 1141 , HIST 1142 , or ANTH 2020  with a grade of C or higher. Description(Same as AAS 3120 .) Investigates the dispersal, growth, and influence of people of African descent throughout the world. A comparative analysis of historical, political, cultural, economic, and social developments of the African diaspora.  Global Scholars course.        ",Africana Studies
