,CourseNumber,CourseTitle,Description,CourseDepartment
17,AAAD 89,First Year Seminar:  Special Topics,Special Topics Course: content will vary each semester.,AAAD
18,AAAD 101,Introduction to Africa,"Introduction to the study of the African continent, its peoples, history, and contemporary problems of development in a globalized world, including a survey of the African past, society and culture, and contemporary political, economic, and social issues.",AAAD
19,AAAD 102,Introduction to Media in Africa,"This course explores the precolonial, colonial, and the contempory media in Africa. It focuses on the different types of media, its impact on socioeconomic and political development, and the growth and development of internet in the region. It introduces students to the inventors, copyright regulations, African governments' media regulation statutes, and careers in the media industry in the continent.",AAAD
20,AAAD 130,Introduction to African American and Diaspora Studies,"The course tracks the contours of history, life, societies, and cultures of the Atlantic African diaspora from their origins through Emancipation in the United States, the Caribbean, and South America.",AAAD
21,AAAD 159,The History of the Black Church and Social Change,"A survey of the historical development of the black church in America, beginning during the antebellum period and continuing to the present day.",AAAD
22,AAAD 200,Gender and Sexuality in Africa,Introduction to the study of gender and sexuality in African societies. Theoretical questions relating to the cross-cultural study of gender will be a primary focus. Topics include historical perspectives on the study of kinship and family in Africa and the impact of colonialism and other forms of social change.,AAAD
23,AAAD 201,Introduction to African Literature,"An introduction to African literature, with an emphasis on works by writers from the late colonial period to the present, and including a survey of different genres.",AAAD
24,AAAD 202,African Film and Performance,"This course studies African film and performance as two distinct, but interconnected genres of artistic expression used for negotiating a postcolonial African agency.",AAAD
25,AAAD 210,African Belief Systems: Religion and Philosophy in Sub-Saharan Africa,"Topics such as the impact of colonialism and missionization on African societies, the changing practice of Islam in Africa, and the intersection of religious and political unrest in postcolonial societies are addressed.",AAAD
26,AAAD 211,African Art and Culture,"Introduction to the plastic arts of sub-Saharan Africa through study of their relationship to the human values, institutions, and modes of aesthetic expression of select traditional and modern African societies.",AAAD
27,AAAD 212,Africa in the Global System,"This course provides a critical examination of the historical and theoretical bases for understanding the challenges and opportunities facing African states and societies in the current global system, which is dominated by neoliberal globalization.",AAAD
28,AAAD 214,Africa through the Ethnographic Lens,"This course examines the ways by which anthropologists have used ethnographic texts to describe and frame African societies. Among the topics explored through a close textual reading of both classical and contemporary ethnographic texts are systems of thought, politics, economics, social organization and the politics of representation.",AAAD
29,AAAD 231,African American History since 1865,Special emphasis on postemancipation developments.,AAAD
30,AAAD 232,Black Women in America,An examination of the individual and collective experiences of black women in America from slavery to the present and the evolution of feminist consciousness.,AAAD
31,AAAD 237,African American Art Survey,An introduction to African American art and artists and their social contexts from early slavery.,AAAD
32,AAAD 238,African American Literature Survey,"This course is an introductory and chronological study of the African American literary canon. It examines various African American literary genres, including slave narratives, poetry, and the novel.",AAAD
33,AAAD 239,"Disaster, Recovery, Resistance in Southern Black History","Since the 1920s environmental, health, industrial and other disasters have shaped southern African American culture, communities, and politics. The mass dislocation and despair brought by disasters and the manners in which African Americans resisted and struggled to overcome them have significantly changed the country's geographic, cultural, and political landscape. This course examines such epic disasters as floods, hurricanes, disease, and work-related tragedies and their long-term consequences and meanings.",AAAD
34,AAAD 240,African American Politics,"A survey of African American political development from emancipation to the present. The course examines the dynamics of minority group politics with African Americans as the primary unit of analysis. Students consider African American politics in domestic and global contexts and issues of local, regional, national, and international relevance.",AAAD
35,AAAD 250,The African American in Motion Pictures: 1900 to the Present,"This course will analyze the role of the African American in motion pictures, explore the development of stereotypical portrayals, and investigate the efforts of African American actors and actresses to overcome these portrayals.",AAAD
36,AAAD 252,African Americans in the West,"African Americans in the West is a survey course that examines the origins, migration, and development of African descended peoples in the United States west of the Mississippi River.",AAAD
37,AAAD 254,African Americans in North Carolina,This course is an overview of the black experience in North Carolina with special emphasis on Chapel Hill and Wilmington.,AAAD
38,AAAD 257,Black Nationalism in the United States,"This course traces the evolution of black nationalism, both as an idea and a movement, from the era of the American Revolution to its current Afrocentric expressions.",AAAD
39,AAAD 258,The Civil Rights Movement,An examination of the struggle by black Americans for social justice since World War II and of the systemic responses.,AAAD
40,AAAD 259,Black Influences on Popular Culture,"This course examines the influence of African American expressive culture, particularly popular music, on American mainstream culture.",AAAD
41,AAAD 260,Blacks in Latin America,The majority of people of African descent in this hemisphere live in Latin America. This course will explore various aspects of the black experience in Latin America.,AAAD
42,AAAD 261,"Afro-Cuban Dance: History, Theory, and Practice","Course interrogates concepts such as religion, folklore, nation, blackness, gender, history, and dance. Concepts illustrated through readings, movement practice (dance classes), and spectatorship.",AAAD
43,AAAD 278,Black Caribbeans in the United States,"This course will look at the experiences of black Caribbean immigrants in the United States and the activities in which they participate, as well as their shifting senses of their identities.",AAAD
44,AAAD 282,Afropessimism in American and European Film,"Scholars of Afropessimism argue that we are not living in the age of post-slavery, but in the ""afterlife of slavery"" and that Blacks exist outside of the world, because the social world is held together by anti-Blackness. This argumentation has had important effects within Black German and Black European Studies. This course seeks to explore these philosophical claims, by comparing American films with European films that deal with anti-Black racism.",AAAD
45,AAAD 284,Contemporary Perspectives on the African Diaspora in the Americas,An interdisciplinary survey of African-descendant communities and the development and expression of African/black identities in the context of competing definitions of diaspora.,AAAD
46,AAAD 286,"The African Diaspora in the Colonial Americas, 1450-1800","Explores the experiences of Africans in European colonies in locations such as colonial Mexico, Brazil, the Caribbean, and mainland North America.  Lecture and discussion format.  The major themes of inquiry include labor, law, gender, culture, and resistance, exploring differing experiences based on gender, location, and religion.",AAAD
47,AAAD 287,Health Equity in the African Diaspora,"Examines historical and contemporary processes shaping health and well-being in Africa Diaspora communities. Emphasis will be placed on health and health equity within African-descendant communities in the United States, Haiti, and Brazil.",AAAD
48,AAAD 288,Global Black Popular Cultures,"Through an interdisciplinary analysis of key aspects of black popular cultures in their global diversity, this course tackles fundamental questions about the meanings of black identity, identification, and belonging.",AAAD
49,AAAD 290,"Topics in African, African American, and Diaspora Studies",Subject matter will vary by instructor. Course description available from department office.,AAAD
50,AAAD 293,Individual Internships for Majors and Minors,"Students work internships and develop, in conjunction with a faculty supervisor, an academic project relating to their internship experience. Permission of the director of undergraduate studies required.",AAAD
51,AAAD 298,Blacks in British North America to 1833,"This course looks at blacks in the British world to 1833, with particular attention on the 13 colonies and the lands that would eventually form the Dominion of Canada.",AAAD
52,AAAD 300,Cultures of Health and Healing in Africa,"This course explores contemporary economic, political, and social factors influencing the health and welfare of African peoples. Emphasis is placed on understanding the cultural perspectives that shape non-Western experiences of health, disease, and notions of spiritual and physical well-being. Readings draw from the fields of anthropology, history, and public health.",AAAD
53,AAAD 301,Contemporary China-Africa Relations,"The course examines the contemporary relationship between China and Africa. This includes China and Africa's history; China's economic, trade, strategic, and foreign policy towards Africa; as well as the relationship between China and the Africans who live and work there.",AAAD
54,AAAD 302,"West African History, Politics, and Culture","The first half of this course introduces students to the broad themes of West African history. The second half builds on this historical background by exploring case studies on a range of issues. Among the topics addressed in the case studies are Islam, gender, health, political violence, and globalization.",AAAD
55,AAAD 303,Islamic Cultures of Contemporary Africa,"By examining the social history and meaning of various cultural practices, literature, art, and popular music among Muslim Africans, this course introduces students to how Islam has influenced contemporary African identity and to the practices that came to be associated with Africa as a land of Islam.",AAAD
56,AAAD 307,21st-Century Scramble for Africa,"Examines the 21st-century global competition for African resources and compares it to the 19th-century ""scramble for Africa."" Major actors include the European Union, the United States, and China.",AAAD
57,AAAD 312,Terrorism in Africa,"This course introduces students to the phenomenon of religious-based terrorism in Africa today, its causes, dynamics, and what the states affected, regional organizations, and the international community are doing to eradicate it.",AAAD
58,AAAD 315,Political Protest and Conflict in Africa,"This course surveys contemporary forms of political conflict and protest in Africa. The nature, causes, and consequences of these conflicts will be examined.",AAAD
59,AAAD 316,Public Policy and Development in Africa,This course is a study of policy making in African states with respect to issues of sustainable development.,AAAD
60,AAAD 318,Politics of Art in Africa,"This course considers a variety of African artists and art scenes in their political, economic, and cultural contexts. Likely topics include artists under Apartheid, the global trade in traditional wood carvings, and Africa's place in the global contemporary art circuit.",AAAD
61,AAAD 319,Africa and Masks,"Examines the production, circulation, and consumption of masks in both African and non-African contexts. Expands, nuances, and sometimes undoes our notions of mask, masquerade, and masking.",AAAD
62,AAAD 320,Music of Africa,"An introduction to African music new and old, focusing on the continent's distinctive techniques and concepts, and on its musical interactions with the rest of the world.  The politics of music making in various historical settings will be explored.  Prior musical experience is helpful, but not required.",AAAD
63,AAAD 329,Islamic Cultures and Literatures in Africa,"This course examines Islamic influences on the cultures and societies of East Africa. Topics include introduction of Islam in the region, Swahili city states, hybrid Islamic cultures, Islam in the constitution, Wahhabi and Salafist puritanical Islam, Islam and politics, and secessionist movements and terrorism in East Africa Muslim societies.",AAAD
64,AAAD 330,20th-Century African American Art,Focus on the historical development of African American art from the Harlem Renaissance of early 20th century through the Black Arts Movement and Feminist Art Movement 1960s and early 1970s.,AAAD
65,AAAD 332,Remembering Race and Slavery,"The course provides an examination of the ways that the past plays out in the present. Specifically this course examines memorials, monuments, and museums that remember and reinvent slavery and race in the United States and throughout the rest of the Diaspora.",AAAD
66,AAAD 333,Race and Public Policy in the United States,"Exploration of the relationship between race and public policy in the U.S. Primary focus on African Americans, but other racial groups also studied.  Key areas include reproductive justice, health care, employment, labor, welfare, education, housing, environmental justice, policing, criminalization, foreign policy, immigration, and war.",AAAD
67,AAAD 334,Performing African American History,"Taking an issue of current or historic importance to African American communities, students conduct archival research and collect and/or analyze oral histories and work to create a documentary play that will be publicly performed.",AAAD
68,AAAD 335,Structure of African American English,"This course treats the structural properties of African American English. Students will learn to use sentence data to test hypotheses about language structure by investigating the phonology, syntax and semantics of African American English.",AAAD
69,AAAD 340,Diaspora Art and Cultural Politics,Examines the socio-political dimensions of African diaspora art and culture with a focus on African Americans in the 20th century.,AAAD
70,AAAD 341,Law and Society,"This course explores the intersection of law and societal developments drawing from the disciplines of history, political science, anthropology, feminist legal studies, and constitutional law.  The themes of the course will vary depending on the training, research interests, and geographical concentration of the faculty teaching the course.",AAAD
71,AAAD 344,African American Theatre: Exploring Legacy and Contemporary Voices,"This course investigates the history and legacy, as well as contemporary trends and ideas of African American drama through the study of its literary texts, performance styles, and cultural history.  We will explore how the African American's dramatists voice is shaping cultural landscapes and ongoing conversations.",AAAD
72,AAAD 350,The Harlem Renaissance,"An exploration of outstanding themes of the Harlem Renaissance's poetry, fiction, painting and visual art, and political journalism. The course includes excursions to museums and libraries. Previously offered as AAAD 450.",AAAD
73,AAAD 354,The Lived Experience of Inequality and Public Policy,"The course will explore the gap between public policy and the lived experiences of and reactions from constituents. Students will explore this gap by studying the development of twentieth-century public policy, examining the differing outcomes across groups, and the contemporary impact on housing, voting, education, and policing.",AAAD
74,AAAD 356,The History of Hip-Hop Culture,"Examines the emergence and impact of hip-hop music and culture and its broad influence in mainstream culture, as a global phenomenon and as a vehicle embodying formative ideas of its constituent communities.",AAAD
75,AAAD 385,Emancipation in the New World,"Will examine the way that the process of emancipation unfolded in Haiti, Jamaica, and Cuba, with major emphasis on emancipation in the United States.",AAAD
76,AAAD 386,"Comparative Studies in Culture, Gender, and Global Forces", Examines participatory development theory and practice in Africa and the United States in the context of other intervention strategies and with special attention to culture and gender.,AAAD
77,AAAD 387,HIV/AIDS in Africa and the Diaspora,"This course explores the history and contemporary politics of HIV/AIDS in African communities and across the Diaspora. The differing trajectories of the epidemic on the continent, in the West, and in the Caribbean and Latin America will be explored.",AAAD
78,AAAD 388,Global Black Feminisms and Women's Apocalyptic Writing,"This class examines black women's omission from our accounts of structural oppression and catastrophe. Reading black women's apocalyptic fiction alongside global black feminist writing, we study how both genres challenge our conceptions, responses to, and preventative measures against violence and catastrophe.",AAAD
79,AAAD 389,"The Caribbean Anticolonial: Caribbean Literature, Film, Aesthetics, and Politics","This course will examine literature, film, art, and music from the Caribbean that illustrates and critiques the past and present impacts of colonial rule in the region. What role has anticolonial Caribbean literature and art played in shaping the region's present and future, and in shaping global anticolonial politics?",AAAD
80,AAAD 391,Human Development and Sustainability in Africa and the African Diaspora,"A critical introduction to the study of development and sustainability as interlinked approaches to understanding contemporary challenges in Africa and the African diaspora. Development is a concept with multiple meanings and contextual incarnations. The course emphasizes thinking of development as a field of expertise and intervention and as a modality of change, that goes beyond economistic understandings of development as simply economic growth.",AAAD
81,AAAD 392,Struggles to Shape the City,Examines approaches to studying the politicization and foreclosure of urban space. Focus in particular on race and socioeconomic class as key lenses through which to interpret and understand urban spatial struggles. Examines relations of inequality in the global North and the global South and analyzes struggles to remain in the city that are central to the politics of place.,AAAD
82,AAAD 395,Undergraduate Research Seminar,"Permission of the instructor for nonmajors. Subject matter will vary with each instructor.  Each course will concern itself with a study in depth of some problem in African, African American, or diaspora studies.",AAAD
83,AAAD 396,Independent Studies,Permission of the director of undergraduate studies. Independent study projects defined by student and faculty advisor. Majors only.,AAAD
84,AAAD 400,Contemporary African Politics,This upper level seminar examines contemporary African politics with a focus on political trends in the post-1990s period.,AAAD
85,AAAD 401,"Poverty, Health, and Human Development in Low Income Countries"," This course provides an understanding of how poverty is defined, the consequences of poverty, and policies to reduce poverty. It explores the determinants of human development outcomes from an interdisciplinary perspective (with a heavy economics focus).",AAAD
86,AAAD 402,African Media and Film: History and Practice,This course explores forms of filmic and photographic representation of and by Africans. An introduction to key concepts in social theory and their application to the field of media studies and ethnography is a primary focus.,AAAD
87,AAAD 403,Human Rights: Theories and Practices in Africa,"This course explores major conceptual debates in the field of human rights. Further, it examines human rights practices and struggles in selected countries in Africa.",AAAD
88,AAAD 404,Music of African Diasporas,"An exploration of musical articulations of African diasporic identity focusing on aesthetics, social fields of production, and the historical development of the diaspora concept around music.",AAAD
89,AAAD 405,Contemporary African Art," Examines modern and contemporary African art (1940s to the present) for Africans on the continent and abroad. Examines tradition, cultural heritage, colonialism, postcolonialism, local versus global, nationalism, gender, identity, diaspora.",AAAD
90,AAAD 410,"Gender, Sexuality, and Development in Contemporary Africa","This upper-level seminar focuses on debates in international development studies exploring theories and policies of development, particularly those pertaining to gender, sexuality, masculinities, and women's political agency in contemporary Africa.",AAAD
91,AAAD 414,Senegalese Society and Culture,"This course provides an overview of Senegalese culture through movies, literary works, and scholarly books and articles. The course examines the geography, population, ethnic composition, thoughts and religious beliefs, arts and music, polygamy, status of women, and the impact of the tariqas or Sufi orders on people's daily lives.",AAAD
92,AAAD 419,African Studies Colloquium,"This course will equip students to analyze critically cutting-edge issues concerning Africa today through readings, lectures, and research. For junior/senior majors and students with an interest in Africa.",AAAD
93,AAAD 421,Introduction to the Languages of Africa,"This course is an introduction to the languages of Africa. No linguistics background is required. Topics include classification, characteristic linguistic features of African languages, and their role in their respective societies.",AAAD
94,AAAD 430,African American Intellectual History,An examination of major intellectual trends in African American life from the 19th to the early 21st century.,AAAD
95,AAAD 444,"Race, Ethnicity, and Blackness in Comparative Perspective","This course will provide students the opportunity to compare and contrast how race, especially Blackness, and ethnicity are constructed across the globe as well as how race, politics, and policy interact in various countries. We will examine the phenomena of race and ethnicity in the political development of several countries including the U.S., South Africa, France, Australia, Brazil, and several others.",AAAD
96,AAAD 449,Black Women in Cinema: From the Early 1900s to the Present,"This course interrogates the diverse representations that black women personified on screen, investigates intersections between their off-screen lives and on-screen images, and explores what and how they contributed to the cinema industry. This course is a theoretical, critical, and historical examination of the black woman's cinematic experience.",AAAD
97,AAAD 451,"Orality, Literacy, and Cultural Production: African Americans and Racial Modernity","Examines the divide between literacy- and orality-based modes of self-expression and cultural production, and the effects of this fault line on the African American struggle for inclusion and self-definition in the United States.",AAAD
98,AAAD 460,"Race, Culture, and Politics in Brazil","Examines race, culture, and politics in Brazil from historical and contemporary perspectives. Focuses on dynamics of race, gender, class, and nation in shaping Brazilian social relations.",AAAD
99,AAAD 461,"Race, Gender, and Activism in Cuba",The course is designed to give students a simulated experience of ethnographic fieldwork and qualitative research. Students are led through a learning experience where they will examine black activism in Cuba from historical and contemporary perspectives.,AAAD
100,AAAD 466,Race and Gender in the Atlantic World,"This course examines constructions of race and gender in a comparative framework from the fifteenth to the mid-nineteenth century. Students will explore how people across the Atlantic understood visual differences and human diversity in emerging concepts of race. Students will also focus on how inhabitants of Africa, Europe, North America, and South America constructed the category of ""woman"" and ""man"" and the constraints and liberties these constructions imposed.",AAAD
101,AAAD 480,Vernacular Traditions in African American Music,"Explores performance traditions in African American music, tracing development from African song through reels, blues, gospel, and contemporary vernacular expression. Focuses on continuity, creativity, and change within African American aesthetics. Previously offered as FOLK 610/AAAD 432.",AAAD
102,AAAD 485,Transnational Black Feminist Thought and Practice,"This course uses social science approaches to explore the development of black feminist thought and activism in diverse cultural and national contexts. Students will gain knowledge of black feminist thought writing and activism in Europe, Latin America, the Caribbean, and the United States.",AAAD
103,AAAD 486,Africa in the American Imagination,"Examines the ways African art appears in United States popular culture (advertisements, magazines, toys, films, art) to generate meanings about Africa. Addresses intersecting issues of nationalism, multiculturalism, imperialism, nostalgia, race. Restricted to sophomores, juniors, and seniors. Honors version available.",AAAD
104,AAAD 487,Intellectual Currents in African and African Diaspora Studies," In this seminar students will examine primary documents of engaged scholarship written by Africans and people of African descent in the Americas, Europe, and elsewhere in the African Diaspora.",AAAD
105,AAAD 488,Human Rights and Democracy in African Diaspora Communities,This course examines how questions of democracy and human rights have been conceptualized in African Diaspora communities in the Americas and Europe.,AAAD
106,AAAD 490,"Colloquium in African, African American, and Diaspora Studies","This course is designed to give students a broad-ranging, interpretative perspective on-and analytical tools for studying-the migration and settlement of African peoples in various parts of the world, largely over the past several centuries. Based on selected secondary readings, students will study and compare the ways in which people of African descent have created political, cultural, and territorial communities in Africa and beyond the continent, especially in the slave and post-emancipation societies of the Americas.",AAAD
107,AAAD 491,"Class, Race, and Inequality in America","Examines the origins of race in America, the relationship of racial oppression to class struggle at key points in American history, the proliferation of versions of the concept of privilege, and approaches to eliminating class and racial privilege.",AAAD
108,AAAD 492,Urbanism in the Global South,"This course introduces concepts and themes on the development of urbanism in the ""Global South"". Students engage with current debates over urbanism in the Global South, including looking at urban inequalities in contemporary cities. Through the course, students will be able to compare and critically analyze formations of contemporary urbanism in selected cities in the Global South from a comparative perspective.",AAAD
109,AAAD 691H,Honors Research I,"Permission of the department. Beginning of mentored research on an honors thesis. Required of all candidates for graduation with honors in African, African American, and Diaspora studies.",AAAD
110,AAAD 692H,Honors Research II,"Permission of the department. Completion of an honors thesis under the direction of a member of the faculty. Required of all candidates for graduation with honors in African, African American, and Diaspora studies.",AAAD
111,AMST 51,First-Year Seminar: Navigating America,"Analyze American journeys and destinations, focusing on how resources, technology, transportation, and cultural influences have transformed the navigation and documentation of America. Multimedia documentation of personal journey required.",AMST
112,AMST 53,First-Year Seminar: The Family and Social Change in America,This course uses changes in the American family over the past century as a way of understanding larger processes of social change. Honors version available.,AMST
113,AMST 54,First-Year Seminar: The Indians' New Worlds: Southeastern Histories from 1200 to 1800,This course uses archaeological and historical scholarship to consider the histories of the Southern Indians from the Mississippian period to the end of the 18th century.,AMST
114,AMST 55,First-Year Seminar: Birth and Death in the United States,"This course explores birth and death as essential human rites of passage that are invested with significance by changing and diverse American historical, cultural, ethnic, and ethical contexts. Honors version available.",AMST
115,AMST 59,First-Year Seminar: American Indian Art in the 20th Century,"This course examines 20th-century American Indian art within the context of critical topics in the field such as sovereignty, colonialism, modernity, modernism, gender, and representation.",AMST
116,AMST 60,"First-Year Seminar: American Indians in History, Law, and Literature","This research seminar provides a grounding in American Indian law, history, and literature. Students will conduct research for presentation on Wikipedia.",AMST
117,AMST 61,First-Year Seminar: Navigating the World through American Eyes,"Designed to help prepare students for future study abroad opportunities and travel, service, and work in a global environment, the seminar focuses on critical differences, including transportation and other forms of infrastructure, that impact navigating places, people, and information. Individual competitive global travel proposals will be developed and presented.",AMST
118,AMST 62,"First-Year Seminar: Mobility, Roads, NASCAR, and Southern Culture","This seminar looks at the culture, history, memories, and meanings of mobility for a diverse range of people in southern cultures. In particular, students will read and discuss books and articles by scholars on roads, cars, access, and diverse southern cultures.",AMST
119,AMST 70,First-Year Seminar: Language in the USA,"The linguistic landscape of the United States in historical and contemporary perspective: American English dialects, language maintenance and shift among Native American and immigrant groups, language politics and policy.",AMST
120,AMST 89,First Year Seminar:  Special Topics,Special topics course.  Content will vary each semester. Honors version available.,AMST
121,AMST 101,"This Place Called ""America""","Interdisciplinary examination of two centuries of American culture, focusing on moments of change and transformation.",AMST
122,AMST 102,Myth and History in American Memory,"Examines the role of memory in constructing historical meaning and in imagining the boundaries of American cultural communities. Explores popular rituals, artifacts, monuments, and public performances. Previously offered as AMST 384.",AMST
123,AMST 110,Introduction to the Cultures and Histories of Native North America,"An interdisciplinary introduction to Native American history and studies. The course uses history, literature, art, and cultural studies to study the Native American experience.",AMST
124,AMST 175,Introduction to Food Studies: From Science to Society,"Introduction to food studies covering a variety of topics including how food was consumed over history, land use and aquaculture, food in the arts, food and culture in the American South, food politics, and nutrition science.",AMST
125,AMST 201,Literary Approaches to American Studies,A study of interdisciplinary methods and the concept of American Studies with an emphasis on the historical context for literary texts.,AMST
126,AMST 202,Historical Approaches to American Studies,A study of interdisciplinary methods and the concept of American studies with an emphasis on historical and cultural analysis.,AMST
127,AMST 203,Approaches to American Indian Studies,Introduces students to the disciplines comprising American Indian studies and teaches them how to integrate disciplines for a more complete understanding of the experiences of American Indian peoples.,AMST
128,AMST 210,"This Place Called ""The South""","An examination of both the mythical and real American South and its diverse peoples through the study of the region's archaeological, geographical, and environmental history integrated with the study of the region's sociology and its economic, political, intellectual, and religious history.",AMST
129,AMST 211,Approaches to Southern Studies: The Literary and Cultural Worlds of the American South,"An examination of Southern cultural identity, literary imagination, and sense of place with an emphasis on the fiction, folklore, foodways, art, architecture, music, and material culture of the American South.",AMST
130,AMST 220,On the Question of the Animal: Contemporary Animal Studies,"This course is an introduction to ""animal studies,"" through animal rights, animal welfare, food studies, and the human/animal distinction in philosophical inquiry. We will read work from dog and horse trainers, and explore the history of the American racetrack. This course builds a moral and ethical reasoning skill set.",AMST
131,AMST 225,Comedy and Ethics,"This course explores the historical, sociocultural, and legal significance of 20th- and 21st-century comedy in the United States. We will consider comedy as public voice; examine how humor constructs and disrupts American identities; and discuss the ethics of the creative process, performance, and reception. Honors version available.",AMST
132,AMST 225L,The Practice of Stand Up Comedy," Students will learn and practice the art of stand up comedy via structured assignments, group workshops, live performances and conversations that build on topics introduced in AMST 225. Class size is limited to 15 students. Instructor permission required.",AMST
133,AMST 231,Native American History: The East,Covers the histories of American Indians east of the Mississippi River and before 1840. The approach is ethnohistorical.,AMST
134,AMST 233,Native American History: The West,Deals with the histories of Native Americans living west of the Mississippi River. It begins in the pre-Columbian past and extends to the end of the 19th century.,AMST
135,AMST 234,Native American Tribal Studies,This course introduces students to a tribally specific body of knowledge. The tribal focus of the course and the instructor change from term to term. Honors version available.,AMST
136,AMST 235,Native America in the 20th Century,"This course deals with the political, economic, social, and cultural issues important to 20th-century Native Americans as they attempt to preserve tribalism in the modern world.",AMST
137,AMST 246,"Indigenous Storytelling: Oral, Written, and Visual Literatures of Native America","Offers a historically, politically, and culturally contextualized examination of Native America through oral, written, and visual storytelling. Covering a wide range of genres, including oral narratives, novels, and visual arts, this introductory course showcases the fluidity of Indigenous artistic forms and their continuing centrality in Native America.",AMST
138,AMST 248,"Intersectionality: Race, Gender, Sexuality, and Social Justice","The first goal of this super course is to give students real tools for how to address multiple modes of difference and identity formations like race, gender, class, and sexuality.",AMST
139,AMST 252,Muslim American Literatures and Cultures,This course examines the diversity of Muslims in America and the variety of creative expression created throughout this long history of transcultural involvement.,AMST
140,AMST 253,A Social History of Jewish Women in America,Course examines the history and culture of Jewish women in America from their arrival in New Amsterdam in 1654 to the present and explores how gender shaped this journey.,AMST
141,AMST 255,Mid-20th-Century American Thought and Culture,"This course examines topics in the intellectual and cultural history of the United States in the mid-20th century, including issues of race thinking, mass culture, and gender ideologies.",AMST
142,AMST 256,Anti-'50s: Voices of a Counter Decade,"We remember the 1950s as a period of relative tranquility, happiness, optimism, and contentment. This course will consider a handful of countertexts: voices from literature, politics, and mass culture of the 1950s that for one or another reason found life in the postwar world repressive, empty, frightening, or insane and predicted the social and cultural revolutions that marked the decade that followed.",AMST
143,AMST 257,Melville: Culture and Criticism,"Investigates the significance of Herman Melville as a representative 19th-century American author. Includes issues of biography, historical context, changing reception, cultural iconography, and the politics of the literary marketplace.",AMST
144,AMST 258,Captivity and American Cultural Definition,"Examines how representations of captivity and bondage in American expression worked to construct and transform communal categories of religion, race, class, gender, and nation.",AMST
145,AMST 259,Tobacco and America,"Explores the significance of tobacco from Native American ceremony to the Southern economy by focusing on changing attitudes toward land use, leisure, social style, public health, litigation, and global capitalism.",AMST
146,AMST 268,American Cinema and American Culture,Examines the relationship between cinema and culture in America with a focus on the ways cinema has been experienced in American communities since 1896.,AMST
147,AMST 269,Mating and Marriage in America,"Interdisciplinary examination of the married condition from colonial times to the present. Themes include courtship and romance, marital power and the egalitarian ideal, challenges to monogamy.",AMST
148,AMST 276,Food and American Culture: What We Eat and Who We Are,"This course will take students on a journey through some of the key moments in ""American"" food studies and its beginnings across a range of disciplinary homes: the study of nutrition and food security; the study of food systems and the vocabularies that subtend them.",AMST
