Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
17,ACCT 6291 , Financial Statement Analysis ,"The analysis and interpretation of financial statements.  This includes profitability and returns analysis, operating versus non-operating performance evaluation, credit analysis (liquidity and solvency), reformulation of financial statements, forecasting of financial statements, analysis of off-balance-sheet financing, analysis of intercorporate investments, cash flow analysis, accounting-based equity valuation, cash-based equity valuation, market-based valuation, assessing earnings quality and earnings management, mergers and acquisitions, assessment of intangible assets, and credit ratings of debt securities. ",Accounting,UNCC
18,ACCT 6299 , Topics in Financial Accounting and Auditing ,Topics in the area of financial accounting and auditing that go beyond the coverage in other existing courses by either addressing new issues or by delving more deeply into a topic.  ,Accounting,UNCC
19,AFRS 5000 , Special Topics in Africana Studies ,"Intensive survey of a topic in African, African American, or the broad African Diaspora studies, depending on the needs of student and staff resources. ",Africana Studies,UNCC
20,AFRS 6610 , Diaspora and Transnational Theories ,"Focuses on the dialectical relationships between the social theories of nation, state, ethnicity, identity, race, and culture on one hand and the emerging theorizing of the diaspora and transnational networks on the other. The historical contexts that have shaped the African Diaspora and the more recent global transnational networks will be emphasized throughout the course. ",Africana Studies,UNCC
21,AFRS 6620 , Advanced Readings in African Modernities ,"The advanced seminar explores the meanings, character, complexity, and consequences of modernity in Africa. The interdisciplinary readings and the analyses that derive from a wide range of disciplines - philosophy, history, anthropology, politics, literature, and the arts - will be deployed to understand the African realities of modernity as a product of 500 years of history from the Atlantic Slavery through colonialism, to the present.",Africana Studies,UNCC
22,AFRS 6630 , Graduate Colloquium ,"Focuses on an interdisciplinary theme that combines two or more of the following: literature, language, politics, health issues, social policy, education, popular culture, history, performance theory, pedagogy, etc. Students write short papers and reports directed toward developing breadth in the theoretical and empirical understanding of a topic in Africana Studies using interdisciplinary approaches.",Africana Studies,UNCC
23,AFRS 6901 , Directed Readings/Research ,"A directed research on a specific theme in Africana Studies. Students will produce a publishable essay at the end of the semester based on original research. The goal is for students to develop research, theoretical and analytical depth in an area of study in Africana Studies.",Africana Studies,UNCC
24,ANTH 5090 , Topics in Anthropology ,"Intensive treatment of a topic in anthropology or survey of related topics. Examples: Religion, Art, and Archaeology; Islam and Globalism. ",Anthropology,UNCC
25,ANTH 5120 , Intercultural Communications ,Learning to cope with cultural differences; contrasting value systems; cross-cultural communication styles; nonverbal communication; cultural relativity; culture and business; ethnocentrism; cultural shock.,Anthropology,UNCC
26,ANTH 5122 , Ethnographic Methods ,"Designed to introduce students to the methodological approaches used in ethnography and to provide a basic mastery of several key methods used in ethnographic research. Includes a discussion of the nature of inquiry in the social sciences; the development and implementation of different kinds of research designs to investigate a range of questions; issues of sampling and informant selection; research ethics; participant observation, interviewing techniques; data management and analysis.  ",Anthropology,UNCC
27,ANTH 5131 ," Culture, Pregnancy, and Birth ","Explores how culture shapes the experience and practice of pregnancy and birth. Some of the topics explored include the birthing experience, midwifery, infertility, new reproductive technologies, and surrogate motherhood.Cross-listed as: WGST 5131 .  ",Anthropology,UNCC
28,ANTH 5140 , Field Biology of the Primates ,The theory and methods utilized in the study of nonhuman primate behavior.  This applied behavioral primatology course entails original research projects done at an appropriate zoological venue in North and South Carolina. ,Anthropology,UNCC
29,ANTH 5453 , Field Project in Archaeology ,"Students participate in field research on an historic or prehistoric archaeological site. Research may include field reconnaissance, excavation, mapping, systematic description and analysis of cultural material, and/or other techniques appropriate to the site and research problem. Students supervise undergraduates under the guidance of the instructor. ",Anthropology,UNCC
30,ANTH 5615 , Seminar in Middle East Ethnography ,"Seminar exploring both historically significant and recent ethnographies on selected topics. Examples include Israel/Palestine, Women in the Middle East, and Tribe, State, and Nation in the Middle East.  ",Anthropology,UNCC
31,ANTH 5622 , Seminar in the Ethnography of Religion ,Seminar exploring both historically significant and recent ethnographies on the anthropology of religion. ,Anthropology,UNCC
32,ANTH 6010 , Advanced Topics in Cultural Anthropology/Linguistics ,"Intensive treatment of a topic in cultural anthropology or linguistic anthropology, depending on student needs and faculty resources. ",Anthropology,UNCC
33,ANTH 6040 , Advanced Topics in Biological Anthropology ,"Intensive treatment of a topic in biological anthropology, depending on student needs and faculty resources. ",Anthropology,UNCC
34,ANTH 6050 , Advanced Topics in Archaeology ,"Intensive treatment of a topic in archaeology, depending on student needs and faculty resources. ",Anthropology,UNCC
35,ANTH 6132 ," Culture, Health, and Aging ","Exploration of the interaction between culture and the aging experience, with a particular emphasis on issues of health and the healthcare system. ",Anthropology,UNCC
36,ANTH 6400 , Anthropology Practicum ,"Supervised practical experience in the application of anthropological principles in an agency, organization, or facility not part of the department. Following the needs of the agency, students will conduct applied research and write a report as part of this practicum.",Anthropology,UNCC
37,ANTH 6401 , Teaching Anthropology ,"Methods and skills for teaching undergraduate students. Students examine and practice teaching skills and classroom procedures. Includes preparation of model teaching materials, such as syllabi, and practice teaching. ",Anthropology,UNCC
38,ANTH 6601 , History of Anthropology ,"Development of the field of anthropology; key concepts, focusing on concepts of “race” and “culture;” debates in anthropological method and theory; implications for ethical practice in contemporary anthropology. ",Anthropology,UNCC
39,ANTH 6602 , Seminar in Interdisciplinary Anthropology ,"Analysis of a key issue or debate through the lens of two or more anthropological specialties. Emphasizes the holistic, interdisciplinary nature of anthropology. Up to 6 hours may be applied to the degree. ",Anthropology,UNCC
40,ANTH 6603 , Theory in Social and Cultural Anthropology ,Discussion of major works that form the theoretical foundation of contemporary social and cultural anthropology. ,Anthropology,UNCC
41,ANTH 6604 , Issues in Archaeological Practice ,Exploration of current theory and practice in anthropological archaeology. Topics include: major theoretical perspectives; the relationship of theoretical choices with the formation of research problems and choice of research methods; discussion of the legal and ethical framework of contemporary archaeology; examination of the influence of multiple stakeholders on the practice of archaeology. ,Anthropology,UNCC
42,ANTH 6605 , Evolutionary and Biological Anthropology ,"Discussion of theories, concepts, and controversies informing biological anthropology, including evolutionary theory as applied to primate and human evolution, behavioral ecology, genetics, and modern human variation. ",Anthropology,UNCC
43,ANTH 6606 , Language and Culture: Foundational Issues in Linguistic Anthropology ,"Discussion of the theories, concepts, controversies, and major findings of linguistic anthropology.  Includes an analysis of the difference between human and non-human communication, semiotics, language and thought, the nature of meaning, language socialization, language variation, language and power, and multilingualism, as well as linguistic change.  No prior training in linguistics is assumed, presupposed, or required. ",Anthropology,UNCC
44,ANTH 6611 , Seminar in Applied Anthropology ,"Theories, methods, and ethics of applied anthropology in medical, educational, business, and development fields. Cultural perspective on the program evaluation in community settings; culturally competent evaluations using ethnographic methods; role of anthropology in program development and evaluation at the regional, national, and international levels. ",Anthropology,UNCC
45,ANTH 6612 , Theoretical Approaches to Gender ,"An interdisciplinary examination of the core theories about the role of gender in identity formation and social organization. Topics covered include the feminist critique of biological essentialism; gender as a continuum; the social construction of gender; gender perfomativity; historical changes in gender; masculinity studies; the intersection of race, class and gender; and the economics of gender.Cross-listed as: WGST 6602 .  ",Anthropology,UNCC
46,ANTH 6642 , Selection in Relation to Sex in Primates ,"Explores the current state of theory and empirical research on sexual selection; discussion will focus on critically evaluating the evidence that sexual selection plays an important role in the evolution and maintenance of particular aspects of morphology, behavior and social organization in nonhuman primates and humans. ",Anthropology,UNCC
47,ANTH 6800 , Directed Readings/Research ,Study of specialized topic through individually designed reading program and scheduled conferences with a faculty member.,Anthropology,UNCC
48,ANTH 6910 , Thesis Tutorial ,"Independent study with a faculty advisor, to conduct research for the M.A. thesis.",Anthropology,UNCC
49,ANTH 6920 , Master’s Thesis ,Preparation of master’s thesis under the supervision of the thesis committee. ,Anthropology,UNCC
50,ARCH 5201 , Architectural History I: Prehistory-1750 ,"Global survey of architecture and urbanism from prehistory to 1750. Explores key examples of buildings and cities as well as the theoretical, environmental, political, economic, technological, and cultural context in which they were built. Provides a general knowledge of the formal, spatial and ornamental characteristics that distinguish the built environment of distinct historic and traditional building cultures. ",Architecture,UNCC
51,ARCH 5202 , Architectural History II: 1750-Present ,"Global survey of architecture and urbanism from 1750 to the present. Explores key architectural and urban ideas, designers, buildings, and urban projects as well as how they were shaped by their environmental, political, economic, technological, and cultural context.",Architecture,UNCC
52,ARCH 5203 , Architectural History III: Survey of Contemporary Theory (1950-Present) ," Credit&nbsp;Hours:&nbsp;(3)Survey of architecture theory from 1950 to the present. Focuses on the key ideas, texts, debates, and discourse that have informed architectural practice in the late twentieth and early twenty-first century.",Architecture,UNCC
53,ARCH 5204 , Architectural History Topics ,"Architectural History Topics are available in a wide variety of subjects; develop in-depth research, writing, and presentation skills; and are listed under the general course numbers ARCH 5204 and ARCH 5205. ",Architecture,UNCC
54,ARCH 5205 , Architectural History Topics ,"Architectural History Topics are available in a wide variety of subjects; develop in-depth research, writing, and presentation skills; and are listed under the general course numbers ARCH 5204 and ARCH 5205.  ",Architecture,UNCC
55,ARCH 5206 , Professional Practice ,"An introduction to the objectives of the practice of architecture, its responsibilities and procedures, and emerging alternative forms of practice and as they pertain to the role of the architect. ",Architecture,UNCC
56,ARCH 5301 , Materials and Assembly Principles ,"Introduces the quantitative and qualitative characteristics of architectural materials, systems, and processes. Students are introduced to the physical properties of materials relevant to their application in construction, assembly, and detail systems.  Topics include: masonry, concrete, wood, steel, glass, cladding, and roofing and flooring materials and their assemblies.",Architecture,UNCC
57,ARCH 5302 , Environmental Systems Principles ,"Introduces qualitative and quantitative analytical methods commonly used to assess the impact of environmental forces on occupant thermal and luminous comfort, energy performance, and regional sustainability.  Students are introduced to the interplay between climatic events, patterns of building use, and the architectural variables that inform the appropriate application of building systems technology.  Topics include: building envelope performance, and the introduction of passive and mechanical systems for heating, cooling, illuminating, and ventilating buildings. ",Architecture,UNCC
58,ARCH 5303 , Structural Principles ,"Introduces issues relevant to the fundamentals of structures including statics, strength, and stability of materials. Students will be introduced to structural concepts, systems, and the tracing of structural loads through basic principles, physical modeling, and theoretical and analytical methods. Topics include: interrelationship between strain, stress, and stability, as well as the implications of tension, compression, shear, torsion, and bending.",Architecture,UNCC
59,ARCH 5304 , Structural Systems ,"Introduces specific structural applications of wood, steel, concrete, and masonry systems commonly used in small-scale commercial/institutional buildings. Students are introduced to the design of beams, columns, walls, joinery, and connections appropriate to each material type through theoretical, analytical, and computer simulation methods.",Architecture,UNCC
60,ARCH 5305 , Building Systems Integration ,"Introduces a set of advanced issues related to the comprehensive, systemic integration of building technology systems commonly used in large-scale buildings through case study, analytical, and simulation methods. Topics address the resolution of building structure, materials, environmental systems, mechanical systems, electrical systems, life safety, building water supply and waste, and conveying systems in building design.",Architecture,UNCC
61,ARCH 5601 , Ideas in Architecture ,"The fundamental concepts, issues, and working knowledge specific to design in architecture.  Topics include:  order, form and space, site, type, and architectural meaning. ",Architecture,UNCC
62,ARCH 5604 , Computational Methods ,"Introduces students to the fundamental concepts of computation through explorations with basic scripting and parametric tools. The goal is to understand the potential of computation and the role it can play as part of one’s design process, not as a collection of specific tools, but as a way of thinking about design.",Architecture,UNCC
63,ARCH 5605 , Computational Practice ,"Capstone course for digital media and computational studies in the School of Architecture. The goal of this seminar course is to provide students with experience using advanced digital tools and methods, including digital fabrication, parametrics, Building Information Modeling/Management (BIM), scripting, and performance analysis in preparation for professional practice and/or advanced graduate research.",Architecture,UNCC
64,ARCH 5606 , Scripting ,"Teaches students how to apply scripting as one might within a professional setting: understanding discipline-specific procedures and problems, planning and developing scripts, testing, debugging, and supporting scripts within a production environment. Students gain an understanding of how scripting can support professionals in their daily work by improving productivity and enabling innovation. ",Architecture,UNCC
65,ARCH 5607 , Digital Fabrication ,"An introduction to the use of parametric software and the use of digitally controlled fabrication. Emphasizes both the development of complex building components in modeling software and the construction of those components using laser cutter, CNC routers and plasma cutters, 3D printers, and other equipment. ",Architecture,UNCC
66,ARCH 5611 , Research Methods I: Computational ,"An overview of the fundamental concepts of design computation through explorations with methods such as parametric software and scripting. Students study these methods in the context of emerging areas of architectural technology research such as Building Information Modeling (BIM), digital fabrication, building performance optimization, and generative design, among others. ",Architecture,UNCC
67,ARCH 5612 , Research Methods II ,"Undertakes a historical survey of the dominant theoretical rubrics designers have used to integrate scientific concepts into architectural research since the Enlightenment. The course is divided into two parts. The first half exposes students to the range of conceptual strategies and techniques architects have used to translate scientific concepts into architectural form, from direct experimentation of structural principles to analogical and metaphorical models of procedural design strategies. The second half requires students to develop a working thesis statement of their independent research that places their work within one of the historical traditions reviewed in class. ",Architecture,UNCC
68,ARCH 6050 , Architectural Elective ,"Architectural Electives are available in a wide variety of subjects, and are listed under the general course number ARCH 6050.  Topics include: Computation, Theory, Representation, Making, Urbanism, and Technology.  Current elective offerings can be viewed in the Schedule of Classes or the School of Architecture website.  ",Architecture,UNCC
69,ARCH 6100 , Design Studio: Basics ,"This introductory graduate course in architecture is intended for students newly admitted to the School of Architecture’s 3+ year professional program. This five-week, intensive studio-based course includes an introduction to freehand drawing, 2-D composition, 3-D modeling, and visual theory. In addition, the course offers an introduction to a variety of related topics (history, urbanism, structure, lighting, materials, etc.) that serve as critical departure points for understanding and making architectural and urban projects.",Architecture,UNCC
70,ARCH 6101 , Design Studio: Fundamentals ,"An introductory architectural design studio that focuses on fundamental concepts of architecture, as well as the acquisition and practice of a wide range of technical and graphic skills and media. It is intended to complement the reading and writing engaged in ARCH 5601  and to serve as an arena to explore and test the issues encountered in that course through the act of making.",Architecture,UNCC
71,ARCH 6102 , Design Studio: Fundamentals ,"An introductory architectural design studio that focuses on the development of site, space, and design process issues, as well as the continued acquisition and practice of a variety of technical and graphic skills. Exploration into the creative and appropriate use of a variety of media is addressed.",Architecture,UNCC
72,ARCH 6306 , Technology Topic ,"Focuses on the study of topical areas of technology in architecture. Provide an in-depth extension of the five required technology courses. The course may be selected from a number of designated technology courses that examine specific issues contributing to architecture as a process of investigation, innovation, analysis and/or research. ",Architecture,UNCC
73,ARCH 6307 , Technology Topic. ,"Focuses on the study of topical areas of technology in architecture. Provide an in-depth extension of the five required technology courses. The course may be selected from a number of designated technology courses that examine specific issues contributing to architecture as a process of investigation, innovation, analysis and/or research. ",Architecture,UNCC
74,ARCH 6601 , Ideas in Architecture ,"This seminar class concentrates on fundamental concepts, issues, and working knowledge specific to design in architecture. It is intended to complement the design problems encountered in ARCH 6100 (studio) and to serve as a critical platform to raise issues that are not always evident in studio making alone. Primary topics addressed include order, form and space, site, type, and architectural meaning.",Architecture,UNCC
75,ARCH 6602 , Representation I: Fundamentals ,"A fundamental visual and architectural skills course that includes lessons in: visual composition, 2D design and communication, 3D physical models, graphic and photographic image manipulation, and craft in design. Also includes readings and criticism, which address the artistic and architectural correlation of these skills.",Architecture,UNCC
76,ARCH 6603 , Representation II: Digital Fundamentals ,"Introduces students to architectural drafting (2D) and modeling (3D) using digital tools and processes. The expected outcome of this course is a student who is skillful, adaptable, and critical in the use of digital media.",Architecture,UNCC
77,ARCH 6890 , Directed Independent Study ,Enables directed individual study and in-depth analysis of a special area related to the interests of the student and the expertise of the advising faculty member. May count towards completion of Concentration requirements if appropriate.,Architecture,UNCC
78,ARCH 7101 , Design Studio: Topical ,"Focuses on issues relevant to current architectural practice and/or exploration of architectural theory. Students choose from among several sections of this studio, each of which addresses a different set of issues. The issues addressed as well as the pedagogical approach of these studios are defined by the faculty teaching them. All students must take a minimum of one Topical Design Studio within their area of Concentration.",Architecture,UNCC
79,ARCH 7102 , Design Studio: Integrated Project Design ,Focuses on a site-specific project emphasizing technological and systemic issues that lead toward a comprehensive building design.,Architecture,UNCC
80,ARCH 7103 , Design Studio: Topical ,"Focuses on issues relevant to current architectural practice and/or exploration of architectural theory. Students choose from among several sections of this studio, each of which addresses a different set of issues. The issues addressed as well as the pedagogical approach of these studios are defined by the faculty teaching them. All students must take a minimum of one Topical Design Studio within their area of Concentration.",Architecture,UNCC
81,ARCH 7104 , Final Project/Thesis Studio ,"Offers support and structure for students undertaking their individualized project in the MArch program. Focuses upon an individually defined architectural design project, or upon an individually defined research project (see Requisite and Capstone Experiences for more details). The faculty member teaching the course coordinates the activities of the students and their advisory committees.",Architecture,UNCC
82,ARCH 7201 , Design Methodologies ,"Focuses on examination of analytic and synthetic models including information processing, programming, and implementation activities used to structure the architect’s design process, conjectural models, and methods specific to the architect’s creative skills. ",Architecture,UNCC
83,ARCH 7202 , Final Project/Thesis Document ,"Provides structure for the formation and exploration of the ideas and issues relevant to the project in the MArch program. This project is to be undertaken individually by students in their final year of study. This course results in the documentation of relevant research in preparation for the execution of the project, which is carried out in ARCH 7104.",Architecture,UNCC
84,ARCH 7210 , Idea Seminar ,An introduction to the important issues that involve design within the fields of computing and architecture. Design has become increasingly important to computer scientists and at the same time computation has become important to designers. This course serves as a survey of these overlapping interests. ,Architecture,UNCC
85,ARCH 7211 , Studio Lab I ,"The Studio/Lab sequence situates students with varying backgrounds in an educational environment that allows them to develop and test innovative computational design tools, applications and settings. Each semester is jointly taught by faculty from the School of Architecture and the College of Computing and Informatics, and is organized around a topic chosen by the participating faculty. Each focused topic requires expertise both in spatial design and computational design, and results in prototypes and evaluation.Cross-listed as: ITCS 6211  and ITIS 6211 .  ",Architecture,UNCC
86,ARCH 7212 , Studio Lab II ,"The Studio/Lab sequence situates students with varying backgrounds in an educational environment that allows them to develop and test innovative computational design tools, applications and settings. Each semester is jointly taught by faculty from the School of Architecture and the College of Computing and Informatics, and is organized around a topic chosen by the participating faculty. Each focused topic requires expertise both in spatial design and computational design, and results in prototypes and evaluation.Cross-listed as: ITCS 6212  and ITIS 6212 .  ",Architecture,UNCC
87,ARCH 7213 , Thesis ,"The Thesis is the culmination of the student’s work in the Dual Degree Program. It allows students to pursue focused research based upon their previous experiences and coursework. The intent is to demonstrate an understanding of an ongoing discourse, to form a clear hypothesis and to develop research methods suitable to implement and test the hypothesis.Cross-listed as: ITCS 6991  and ITIS 6991 .  ",Architecture,UNCC
88,ARCH 7950 , Directed Research Study ,An optional opportunity for research in which MArch II students may engage. Allows graduate students to engage research activities to support their growing knowledge of architecture and architectural discourse. Informs and motivates possible interests that the students might pursue in their final year of study.,Architecture,UNCC
89,ARTE 5121 , Art Education Methods I (K-12) ," Credit&nbsp;Hours:&nbsp;(3)Analysis of learning theories as related to growth and development in visual arts; organization of tools, media and materials; curriculum design in planning art units and lesson plans; evaluation and motivation techniques. Approximately 36 hours of clinical/classroom based field experience required.",Art Education,UNCC
90,ARTE 5122 , Art Education Methods II (K-12) ," Credit&nbsp;Hours:&nbsp;(3)Development of objectives for art education based on personal and historical references, philosophy, and psychology. Relationship of the arts and artists to contemporary society. Curriculum design, classroom management, and approximately 36 hours of clinical/classroom-based field experience required.",Art Education,UNCC
91,BINF 5171 , Business of Biotechnology ,"Introduces students to the field of biotechnology and how biotech businesses are created and managed. Students should be able to define biotechnology and understand the difference between a biotech company and a pharmaceutical company. Additional concepts covered will include platform technology, biotechnology’s history, biotechnology products and development processes, current technologies used by biotech companies today, biotechnology business fundamentals, research and development within biotech companies, exit strategies, and careers in the biotech field.",Bioinformatics,UNCC
92,BINF 5191 , Life Sciences and the Law ,"Law and regulations permeate our daily lives, and nowhere is this truer than in areas of life sciences.  This course explores what the law is, how our current laws developed, and factors currently affecting the evolution of the law.  It provides a general overview of U.S. law, including constitutional law, criminal law, contract law, tort law, property law (especially intellectual property law), business law (especially legal aspects of forming a new company), and administrative law.  It then focuses on specific aspects of the law affecting the life sciences, such as ownership of tissues and organisms, regulation of drugs and medical devices, regulation of research in the life sciences, the history and regulation of medicine, the economics and various types of health care delivery, and food production.",Bioinformatics,UNCC
93,BINF 6010 , Topics in Bioinformatics ,Topics in bioinformatics and genomics selected to supplement the regular course offerings. A student may register for multiple sections of the course with different topics in the same semester or in different semesters.,Bioinformatics,UNCC
94,BINF 6100 , Biological Basis of Bioinformatics ,This course provides a foundation in molecular genetics and cell biology focusing on foundation topics for graduate training in bioinformatics and genomics.,Bioinformatics,UNCC
95,BINF 6101 , Energy and Interaction in Biological Modeling ,"This course covers: (a) the major organic and inorganic chemical features of biological macromolecules; (b) the physical forces that shape biological molecules, assemblies and cells; (c) the chemical driving forces that govern living systems; (d) the molecular roles of biological macromolecules and common metabolites; (e) and the pathways of energy generation and storage. Each section of the course builds upon the relevant principles in biology and chemistry to explain the most common mathematical and physical abstractions used in modeling in the relevant context.",Bioinformatics,UNCC
96,BINF 6111 , Bioinformatics Programming I ,"Introduces fundamentals of programming for bioinformatics using a high-level object-oriented language such as Java or Python. Introduces object-oriented programming, analysis of algorithms, and fundamental sequence alignment methods. Students learn productive use of the Unix environment, focusing on Unix utilities that are particularly useful in bioinformatics. Course grade includes performance in BINF 6111L .",Bioinformatics,UNCC
97,BINF 6111L , Bioinformatics Programming I Laboratory ,Hands-on experience in programming to solve bioinformatics problems.,Bioinformatics,UNCC
98,BINF 6112 , Bioinformatics Programming II ,"In this second semester, students practice and refine skills learned in the first semester. New topics include: (a) programming as part of a team, using sequence analysis algorithms in realistic settings; (b) writing maintainable and re-usable code; and (c) graphical user interface development. Course grade includes performance in BINF 6111 .",Bioinformatics,UNCC
99,BINF 6112L , Bioinformatics Programming II Laboratory ,Hands-on experience in programming to solve bioinformatics problems.,Bioinformatics,UNCC
100,BINF 6151 , Professional Communication ,"Principles and useful techniques for effective oral presentations, poster presentations, scientific writing, use of references and avoiding plagiarism. Students in the course critique and help revise each other’s presentations and learn how to avoid common pitfalls. In addition, students learn how to properly organize and run a meeting.Cross-listed as: GRAD 6151.  ",Bioinformatics,UNCC
101,BINF 6152 , Program and Professional Orientation ,"Students learn to identify key Bioinformatics skill sets and where they are applied in research and industry settings, join appropriate professional networks, use the major professional and research journals in the field, identify key organizations and companies driving intellectual and technology development in bioinformatics, and achieve beginner level proficiency with key molecular data repositories. ",Bioinformatics,UNCC
102,BINF 6153 , Career Development in Bioinformatics ,"Students prepare intensively for the job search, from developing a resume, to identifying appropriate opportunities, to preparing for the interview. Students are expected to complete a final interview practicum with faculty and members of the PSM Executive Board. ",Bioinformatics,UNCC
103,BINF 6200 , Statistics for Bioinformatics ,"Introduces students to statistical methods commonly used in bioinformatics. Basic concepts from probability, stochastic processes, information theory, and other statistical methods are introduced and illustrated by examples from molecular biology, genomics and population genetics with an outline of algorithms and software. R is introduced as the programming language for homework. Course grade includes performance in BINF 6200L .",Bioinformatics,UNCC
104,BINF 6200L , Statistics for Bioinformatics Laboratory ,"Introduces R and its application in solving common statistical problems in bioinformatics. Basic relevant concepts from probability, probability distributions, and statistical inference are introduced and illustrated by examples from bioinformatics applications using R.",Bioinformatics,UNCC
105,BINF 6201 , Molecular Sequence Analysis ,"Introduction of the basic computational methods and open sources software commonly used in molecular sequence analysis. Topics include: biological sequence data formats and major public databases, concepts of computer algorithms and complexity, introductions to principle components analysis and data clustering methods, dynamics of genes in populations, evolutionary models of DNA and protein sequences, derivation of amino acid substitution matrices, algorithms for pairwise sequence alignments and multiple sequence alignments, algorithms for fast sequence database search, methods for molecular phylogenetic analysis, hidden Markov models and neural networks for sequence pattern and family recognition, and introductions to genome evolution and comics data analysis. Course grade includes performance in BINF 6201L .",Bioinformatics,UNCC
106,BINF 6201L , Molecular Sequence Analysis Laboratory ,"Hands-on experience with common software methods for biological sequence data analysis. Topics include: Basic UNIX utilities, principle component analysis, clustering analysis, global and local pair-wise sequence alignments, multiple sequence alignments, sequence database search methods, phylogenetic tree constructions, hidden Markov models, and neural networks.",Bioinformatics,UNCC
107,BINF 6202 , Computational Structural Biology ,"Topics include: (a) the fundamental concepts of structural biology (chemical building blocks, structure, superstructure, folding, etc.); (b) structural databases and software for structure visualization; (c) Structure determination and quality assessment; (d) protein structure comparison and the hierarchical nature of biomacromolecular structure classification; (e) protein structure prediction and assessment; and (f) sequence and structure-based functional site prediction. Course grade includes performance in BINF 6202L .",Bioinformatics,UNCC
108,BINF 6202L , Computational Structural Biology Laboratory ,The use and application of: (a) structural classification databases; (b) software for visualization of biological structures; (c) computational methods to evaluate and compare biological structures; (d) computational methods to align biological structures; and (f) computational methods to predict biological structures from sequence.,Bioinformatics,UNCC
